distbin,District,purpose,survey_value,model_value
1,1: Downtown,Work,0.0,0.0
2,1: Downtown,Work,0.0,0.0
3,1: Downtown,Work,0.0,0.0
4,1: Downtown,Work,0.0,0.0
5,1: Downtown,Work,0.0,0.0
6,1: Downtown,Work,0.0,0.0
7,1: Downtown,Work,0.0,0.0
8,1: Downtown,Work,0.0,0.0
9,1: Downtown,Work,0.0,0.0
10,1: Downtown,Work,0.0,0.0
11,1: Downtown,Work,0.0,0.0
12,1: Downtown,Work,0.0,0.0
13,1: Downtown,Work,0.0,0.0
14,1: Downtown,Work,0.0,0.0
15,1: Downtown,Work,0.0,0.0
16,1: Downtown,Work,0.0,0.0
17,1: Downtown,Work,0.0,0.0
18,1: Downtown,Work,0.0,0.0
19,1: Downtown,Work,0.0,0.0
20,1: Downtown,Work,0.0,0.0
21,1: Downtown,Work,0.0,0.0
22,1: Downtown,Work,0.0,0.0
23,1: Downtown,Work,0.0,0.0
24,1: Downtown,Work,0.0,0.0
25,1: Downtown,Work,0.0,0.0
26,1: Downtown,Work,0.0,0.0
27,1: Downtown,Work,0.0,0.0
28,1: Downtown,Work,0.0,0.0
29,1: Downtown,Work,0.0,0.0
30,1: Downtown,Work,0.0,0.0
31,1: Downtown,Work,0.0,0.0
32,1: Downtown,Work,0.0,0.0
33,1: Downtown,Work,0.0,0.0
34,1: Downtown,Work,0.0,0.0
35,1: Downtown,Work,0.0,0.0
36,1: Downtown,Work,0.0,0.0
37,1: Downtown,Work,0.0,0.0
38,1: Downtown,Work,0.0,0.0
39,1: Downtown,Work,0.0,0.0
40,1: Downtown,Work,0.0,0.0
41,1: Downtown,Work,0.0,0.0
42,1: Downtown,Work,0.0,0.0
43,1: Downtown,Work,0.0,0.0
44,1: Downtown,Work,0.0,0.0
45,1: Downtown,Work,0.0,0.0
46,1: Downtown,Work,0.0,0.0
47,1: Downtown,Work,0.0,0.0
48,1: Downtown,Work,0.0,0.0
49,1: Downtown,Work,0.0,0.0
50,1: Downtown,Work,0.0,0.0
51,1: Downtown,Work,0.0,0.0
1,2: Central,Work,0.0,0.0
2,2: Central,Work,0.0,0.0
3,2: Central,Work,0.0,0.0
4,2: Central,Work,0.0,0.0
5,2: Central,Work,0.0,0.0
6,2: Central,Work,0.0,0.0
7,2: Central,Work,0.0,0.0
8,2: Central,Work,0.0,0.0
9,2: Central,Work,0.0,0.0
10,2: Central,Work,0.0,0.0
11,2: Central,Work,0.0,0.0
12,2: Central,Work,0.0,0.0
13,2: Central,Work,0.0,0.0
14,2: Central,Work,0.0,0.0
15,2: Central,Work,0.0,0.0
16,2: Central,Work,0.0,0.0
17,2: Central,Work,0.0,0.0
18,2: Central,Work,0.0,0.0
19,2: Central,Work,0.0,0.0
20,2: Central,Work,0.0,0.0
21,2: Central,Work,0.0,0.0
22,2: Central,Work,0.0,0.0
23,2: Central,Work,0.0,0.0
24,2: Central,Work,0.0,0.0
25,2: Central,Work,0.0,0.0
26,2: Central,Work,0.0,0.0
27,2: Central,Work,0.0,0.0
28,2: Central,Work,0.0,0.0
29,2: Central,Work,0.0,0.0
30,2: Central,Work,0.0,0.0
31,2: Central,Work,0.0,0.0
32,2: Central,Work,0.0,0.0
33,2: Central,Work,0.0,0.0
34,2: Central,Work,0.0,0.0
35,2: Central,Work,0.0,0.0
36,2: Central,Work,0.0,0.0
37,2: Central,Work,0.0,0.0
38,2: Central,Work,0.0,0.0
39,2: Central,Work,0.0,0.0
40,2: Central,Work,0.0,0.0
41,2: Central,Work,0.0,0.0
42,2: Central,Work,0.0,0.0
43,2: Central,Work,0.0,0.0
44,2: Central,Work,0.0,0.0
45,2: Central,Work,0.0,0.0
46,2: Central,Work,0.0,0.0
47,2: Central,Work,0.0,0.0
48,2: Central,Work,0.0,0.0
49,2: Central,Work,0.0,0.0
50,2: Central,Work,0.0,0.0
51,2: Central,Work,0.0,0.0
1,3: North City,Work,0.0,0.0
2,3: North City,Work,0.0,0.0
3,3: North City,Work,0.0,0.0
4,3: North City,Work,0.0,0.0
5,3: North City,Work,0.0,0.0
6,3: North City,Work,0.0,0.0
7,3: North City,Work,0.0,0.0
8,3: North City,Work,0.0,0.0
9,3: North City,Work,0.0,0.0
10,3: North City,Work,0.0,0.0
11,3: North City,Work,0.0,0.0
12,3: North City,Work,0.0,0.0
13,3: North City,Work,0.0,0.0
14,3: North City,Work,0.0,0.0
15,3: North City,Work,0.0,0.0
16,3: North City,Work,0.0,0.0
17,3: North City,Work,0.0,0.0
18,3: North City,Work,0.0,0.0
19,3: North City,Work,0.0,0.0
