hh_id,person_id,person_num,age,gender,type,value_of_time,activity_pattern,imf_choice,inmf_choice,fp_choice,reimb_pct,tele_choice,ie_choice,timeFactorWork,timeFactorNonWork
1,1,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
1,2,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
2,3,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
2,4,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
3,5,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
3,6,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
4,7,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
4,8,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
5,9,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
5,10,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
6,11,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
6,12,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
7,13,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
7,14,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
8,15,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
8,16,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
9,17,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
9,18,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
10,19,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
10,20,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
11,21,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
11,22,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
12,23,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
12,24,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
13,25,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
13,26,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
14,27,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
14,28,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
15,29,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
15,30,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
16,31,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
16,32,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
17,33,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
17,34,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
18,35,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
18,36,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
19,37,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
19,38,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
20,39,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
20,40,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
21,41,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
21,42,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
22,43,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
22,44,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
23,45,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
23,46,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
24,47,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
24,48,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
25,49,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
25,50,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
26,51,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
26,52,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
27,53,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
27,54,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
28,55,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
28,56,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
29,57,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
29,58,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
30,59,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
30,60,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
31,61,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
31,62,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
32,63,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
32,64,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
33,65,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
33,66,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
34,67,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
34,68,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
35,69,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
35,70,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
36,71,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
36,72,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
37,73,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
37,74,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
38,75,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
38,76,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
39,77,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
39,78,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
40,79,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
40,80,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
41,81,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
41,82,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
42,83,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
42,84,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
43,85,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
43,86,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
44,87,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
44,88,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
45,89,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
45,90,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
46,91,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
46,92,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
47,93,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
47,94,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
48,95,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
48,96,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
49,97,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
49,98,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
50,99,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
50,100,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
51,101,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
51,102,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
52,103,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
52,104,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
53,105,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
53,106,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
54,107,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
