hh_id,home_mgra,income,HVs,transponder,cdap_pattern,out_escort_choice,inb_escort_choice,jtf_choice,AVs
1,1,14000,0,1,MNj,0,0,0,0
2,1,14000,1,1,MNj,0,0,0,0
3,1,14000,2,1,MNj,0,0,0,0
4,1,67000,0,1,MNj,0,0,0,0
5,1,67000,1,1,MNj,0,0,0,0
6,1,67000,2,1,MNj,0,0,0,0
7,1,12000,0,1,MNj,0,0,0,0
8,1,12000,1,1,MNj,0,0,0,0
9,1,12000,2,1,MNj,0,0,0,0
10,2,14000,0,1,MNj,0,0,0,0
11,2,14000,1,1,MNj,0,0,0,0
12,2,14000,2,1,MNj,0,0,0,0
13,2,67000,0,1,MNj,0,0,0,0
14,2,67000,1,1,MNj,0,0,0,0
15,2,67000,2,1,MNj,0,0,0,0
16,2,12000,0,1,MNj,0,0,0,0
17,2,12000,1,1,MNj,0,0,0,0
18,2,12000,2,1,MNj,0,0,0,0
19,3,14000,0,1,MNj,0,0,0,0
20,3,14000,1,1,MNj,0,0,0,0
21,3,14000,2,1,MNj,0,0,0,0
22,3,67000,0,1,MNj,0,0,0,0
23,3,67000,1,1,MNj,0,0,0,0
24,3,67000,2,1,MNj,0,0,0,0
25,3,12000,0,1,MNj,0,0,0,0
26,3,12000,1,1,MNj,0,0,0,0
27,3,12000,2,1,MNj,0,0,0,0
28,4,14000,0,1,MNj,0,0,0,0
29,4,14000,1,1,MNj,0,0,0,0
30,4,14000,2,1,MNj,0,0,0,0
31,4,67000,0,1,MNj,0,0,0,0
32,4,67000,1,1,MNj,0,0,0,0
33,4,67000,2,1,MNj,0,0,0,0
34,4,12000,0,1,MNj,0,0,0,0
35,4,12000,1,1,MNj,0,0,0,0
36,4,12000,2,1,MNj,0,0,0,0
37,5,14000,0,1,MNj,0,0,0,0
38,5,14000,1,1,MNj,0,0,0,0
39,5,14000,2,1,MNj,0,0,0,0
40,5,67000,0,1,MNj,0,0,0,0
41,5,67000,1,1,MNj,0,0,0,0
42,5,67000,2,1,MNj,0,0,0,0
43,5,12000,0,1,MNj,0,0,0,0
44,5,12000,1,1,MNj,0,0,0,0
45,5,12000,2,1,MNj,0,0,0,0
46,6,14000,0,1,MNj,0,0,0,0
47,6,14000,1,1,MNj,0,0,0,0
48,6,14000,2,1,MNj,0,0,0,0
49,6,67000,0,1,MNj,0,0,0,0
50,6,67000,1,1,MNj,0,0,0,0
51,6,67000,2,1,MNj,0,0,0,0
52,6,12000,0,1,MNj,0,0,0,0
53,6,12000,1,1,MNj,0,0,0,0
54,6,12000,2,1,MNj,0,0,0,0
55,7,14000,0,1,MNj,0,0,0,0
56,7,14000,1,1,MNj,0,0,0,0
57,7,14000,2,1,MNj,0,0,0,0
58,7,67000,0,1,MNj,0,0,0,0
59,7,67000,1,1,MNj,0,0,0,0
60,7,67000,2,1,MNj,0,0,0,0
61,7,12000,0,1,MNj,0,0,0,0
62,7,12000,1,1,MNj,0,0,0,0
63,7,12000,2,1,MNj,0,0,0,0
64,8,14000,0,1,MNj,0,0,0,0
65,8,14000,1,1,MNj,0,0,0,0
66,8,14000,2,1,MNj,0,0,0,0
67,8,67000,0,1,MNj,0,0,0,0
68,8,67000,1,1,MNj,0,0,0,0
69,8,67000,2,1,MNj,0,0,0,0
70,8,12000,0,1,MNj,0,0,0,0
71,8,12000,1,1,MNj,0,0,0,0
72,8,12000,2,1,MNj,0,0,0,0
73,9,14000,0,1,MNj,0,0,0,0
74,9,14000,1,1,MNj,0,0,0,0
75,9,14000,2,1,MNj,0,0,0,0
76,9,67000,0,1,MNj,0,0,0,0
77,9,67000,1,1,MNj,0,0,0,0
78,9,67000,2,1,MNj,0,0,0,0
79,9,12000,0,1,MNj,0,0,0,0
80,9,12000,1,1,MNj,0,0,0,0
81,9,12000,2,1,MNj,0,0,0,0
82,10,14000,0,1,MNj,0,0,0,0
83,10,14000,1,1,MNj,0,0,0,0
84,10,14000,2,1,MNj,0,0,0,0
85,10,67000,0,1,MNj,0,0,0,0
86,10,67000,1,1,MNj,0,0,0,0
87,10,67000,2,1,MNj,0,0,0,0
88,10,12000,0,1,MNj,0,0,0,0
89,10,12000,1,1,MNj,0,0,0,0
90,10,12000,2,1,MNj,0,0,0,0
