hhid,perid,household_serial_no,pnum,age,sex,miltary,pemploy,pstudent,ptype,educ,grade,occen5,occsoc5,indcen,weeks,hours,race1p,hisp,version,timeFactorWork,timeFactorNonWork,DAP
1,1,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
1,2,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
2,3,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
2,4,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
3,5,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
3,6,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
4,7,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
4,8,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
5,9,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
5,10,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
6,11,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
6,12,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
7,13,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
7,14,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
8,15,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
8,16,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
9,17,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
9,18,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
10,19,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
10,20,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
11,21,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
11,22,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
12,23,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
12,24,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
13,25,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
13,26,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
14,27,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
14,28,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
15,29,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
15,30,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
16,31,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
16,32,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
17,33,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
17,34,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
18,35,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
18,36,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
19,37,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
19,38,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
20,39,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
20,40,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
21,41,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
21,42,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
22,43,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
22,44,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
23,45,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
23,46,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
24,47,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
24,48,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
25,49,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
25,50,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
26,51,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
26,52,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
27,53,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
27,54,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
28,55,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
28,56,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
29,57,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
29,58,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
30,59,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
30,60,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
31,61,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
31,62,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
32,63,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
32,64,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
33,65,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
33,66,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
34,67,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
34,68,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
35,69,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
35,70,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
36,71,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
36,72,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
37,73,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
37,74,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
38,75,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
38,76,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
39,77,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
