Purpose,EntryPeriod,ReturnPeriod,Percent
0,19,13,0
0,20,13,0
0,21,13,0
0,22,13,0
0,23,13,0
0,24,13,0
0,25,13,0
0,26,13,0
0,27,13,0
0,28,13,0
0,29,13,0
0,30,13,0
0,31,13,0
0,32,13,0
0,33,13,0
0,34,13,0
0,35,13,0
0,36,13,0
0,37,13,0
0,38,13,0
0,39,13,0
0,40,13,0
0,1,14,0
0,2,14,0
0,3,14,0
0,4,14,0
0,5,14,0
0,6,14,0
0,7,14,0
0,8,14,0
0,9,14,0
0,10,14,0
0,11,14,0
0,12,14,0
0,13,14,0
0,14,14,0
0,15,14,0
0,16,14,0
0,17,14,0
0,18,14,0
0,19,14,0
0,20,14,0
0,21,14,0
0,22,14,0
0,23,14,0
0,24,14,0
0,25,14,0
0,26,14,0
0,27,14,0
0,28,14,0
0,29,14,0
0,30,14,0
0,31,14,0
0,32,14,0
0,33,14,0
0,34,14,0
0,35,14,0
0,36,14,0
0,37,14,0
0,38,14,0
0,39,14,0
0,40,14,0
0,1,15,0
0,2,15,0
0,3,15,0
0,4,15,0
0,5,15,0
0,6,15,0
0,7,15,0
0,8,15,0
0,9,15,0
0,10,15,0
0,11,15,0
0,12,15,0
0,13,15,0
0,14,15,0
0,15,15,0
0,16,15,0
0,17,15,0
0,18,15,0
0,19,15,0
0,20,15,0
0,21,15,0
0,22,15,0
0,23,15,0
0,24,15,0
0,25,15,0
0,26,15,0
0,27,15,0
0,28,15,0
0,29,15,0
0,30,15,0
0,31,15,0
0,32,15,0
0,33,15,0
0,34,15,0
0,35,15,0
0,36,15,0
0,37,15,0
0,38,15,0
0,39,15,0
0,40,15,0
0,1,16,0
0,2,16,0
0,3,16,0
0,4,16,0
0,5,16,0
0,6,16,0
0,7,16,0
0,8,16,0
0,9,16,0
0,10,16,0
0,11,16,0
0,12,16,0
0,13,16,0
0,14,16,0
0,15,16,0
0,16,16,0
0,17,16,0
0,18,16,0
0,19,16,0
0,20,16,0
0,21,16,0
0,22,16,0
0,23,16,0
0,24,16,0
0,25,16,0
0,26,16,0
0,27,16,0
0,28,16,0
0,29,16,0
0,30,16,0
0,31,16,0
0,32,16,0
0,33,16,0
0,34,16,0
0,35,16,0
0,36,16,0
0,37,16,0
0,38,16,0
0,39,16,0
0,40,16,0
0,1,17,0.00014
0,2,17,0.0002
0,3,17,0.00034
0,4,17,0
0,5,17,0
0,6,17,0
0,7,17,0
0,8,17,0
0,9,17,0.0042
0,10,17,0
0,11,17,0
0,12,17,0
0,13,17,0
0,14,17,0
0,15,17,0
0,16,17,0
0,17,17,0
0,18,17,0
0,19,17,0
0,20,17,0
0,21,17,0
0,22,17,0
0,23,17,0
0,24,17,0
0,25,17,0
0,26,17,0
0,27,17,0
0,28,17,0
0,29,17,0
0,30,17,0
0,31,17,0
0,32,17,0
0,33,17,0
0,34,17,0
0,35,17,0
0,36,17,0
0,37,17,0
0,38,17,0
0,39,17,0
0,40,17,0
0,1,18,0.00014
0,2,18,0.0002
0,3,18,0.00034
0,4,18,0
0,5,18,0
0,6,18,0
0,7,18,0
0,8,18,0.00455
0,9,18,0
0,10,18,0
0,11,18,0
0,12,18,0
0,13,18,0
0,14,18,0
0,15,18,0
0,16,18,0
0,17,18,0
0,18,18,0
0,19,18,0
0,20,18,0
0,21,18,0
0,22,18,0
0,23,18,0
0,24,18,0
0,25,18,0
0,26,18,0
0,27,18,0
0,28,18,0
0,29,18,0
0,30,18,0
0,31,18,0
0,32,18,0
0,33,18,0
0,34,18,0
0,35,18,0
0,36,18,0
0,37,18,0
0,38,18,0
0,39,18,0
0,40,18,0
0,1,19,0.00044
0,2,19,0.00066
0,3,19,0.0011
0,4,19,0
0,5,19,0
0,6,19,0
0,7,19,0.0024
0,8,19,0
0,9,19,0
0,10,19,0
0,11,19,0
0,12,19,0
0,13,19,0
0,14,19,0.00497
0,15,19,0
0,16,19,0
0,17,19,0
0,18,19,0
0,19,19,0.00295
0,20,19,0
0,21,19,0
0,22,19,0
0,23,19,0
0,24,19,0
0,25,19,0
0,26,19,0
0,27,19,0
0,28,19,0
0,29,19,0
0,30,19,0
0,31,19,0
0,32,19,0
0,33,19,0
0,34,19,0
0,35,19,0
0,36,19,0
0,37,19,0
0,38,19,0
0,39,19,0
0,40,19,0
0,1,20,7.00E-05
0,2,20,0.0001
0,3,20,0.00017
0,4,20,0
0,5,20,0
0,6,20,0.0024
0,7,20,0
0,8,20,0
0,9,20,0
0,10,20,0
0,11,20,0
0,12,20,0
0,13,20,0
0,14,20,0
0,15,20,0
0,16,20,0
0,17,20,0
0,18,20,0
0,19,20,0
0,20,20,0
0,21,20,0
0,22,20,0
0,23,20,0
0,24,20,0
0,25,20,0
0,26,20,0
0,27,20,0
0,28,20,0
0,29,20,0
0,30,20,0
0,31,20,0
0,32,20,0
0,33,20,0
0,34,20,0
0,35,20,0
0,36,20,0
0,37,20,0
0,38,20,0
0,39,20,0
0,40,20,0
0,1,21,0.00074
0,2,21,0.00111
0,3,21,0.00186
0,4,21,0
0,5,21,0
0,6,21,0
0,7,21,0
0,8,21,0.00984
0,9,21,0
0,10,21,0.00158
0,11,21,0
0,12,21,0
0,13,21,0.00253
0,14,21,0
0,15,21,0.00506
0,16,21,0
0,17,21,0
0,18,21,0
0,19,21,0
0,20,21,0
0,21,21,0
0,22,21,0
0,23,21,0
0,24,21,0
0,25,21,0
0,26,21,0
0,27,21,0
0,28,21,0
0,29,21,0
0,30,21,0
0,31,21,0
0,32,21,0
0,33,21,0
0,34,21,0
0,35,21,0
0,36,21,0
0,37,21,0
0,38,21,0
0,39,21,0
0,40,21,0
0,1,22,0.00057
0,2,22,0.00086
0,3,22,0.00143
0,4,22,0
0,5,22,0
0,6,22,0.00578
0,7,22,0
0,8,22,0.00409
0,9,22,0.00215
0,10,22,0
0,11,22,0
0,12,22,0
0,13,22,0
0,14,22,0
0,15,22,0
0,16,22,0.00362
0,17,22,0
0,18,22,0
0,19,22,0
0,20,22,0
0,21,22,0
0,22,22,0
0,23,22,0
0,24,22,0
0,25,22,0
0,26,22,0
0,27,22,0
0,28,22,0
0,29,22,0
0,30,22,0
0,31,22,0
0,32,22,0
0,33,22,0
0,34,22,0
0,35,22,0
0,36,22,0
0,37,22,0
0,38,22,0
0,39,22,0
0,40,22,0
0,1,23,0.00051
0,2,23,0.00076
0,3,23,0.00127
0,4,23,0
0,5,23,0.0024
0,6,23,0
0,7,23,0.00561
0,8,23,0
0,9,23,0
0,10,23,0
0,11,23,0
0,12,23,0.00295
0,13,23,0
0,14,23,0
0,15,23,0
0,16,23,0
0,17,23,0
0,18,23,0.00253
0,19,23,0
0,20,23,0
0,21,23,0
0,22,23,0
0,23,23,0
0,24,23,0
0,25,23,0
0,26,23,0
0,27,23,0
0,28,23,0
0,29,23,0
0,30,23,0
0,31,23,0
0,32,23,0
0,33,23,0
0,34,23,0
0,35,23,0
0,36,23,0
0,37,23,0
0,38,23,0
0,39,23,0
0,40,23,0
0,1,24,0.00287
0,2,24,0.0043
0,3,24,0.00718
0,4,24,0
0,5,24,0
0,6,24,0.01696
0,7,24,0.0024
0,8,24,0.01169
0,9,24,0.00409
0,10,24,0.00557
0,11,24,0
0,12,24,0
0,13,24,0.01491
0,14,24,0
0,15,24,0.00792
0,16,24,0
0,17,24,0.00497
0,18,24,0.00497
0,19,24,0
0,20,24,0
0,21,24,0
0,22,24,0
0,23,24,0
0,24,24,0
0,25,24,0
0,26,24,0
0,27,24,0
0,28,24,0
0,29,24,0
0,30,24,0
0,31,24,0
0,32,24,0
0,33,24,0
0,34,24,0
0,35,24,0
0,36,24,0
0,37,24,0
0,38,24,0
0,39,24,0
0,40,24,0
0,1,25,0.00125
0,2,25,0.00187
0,3,25,0.00312
0,4,25,0
0,5,25,0
0,6,25,0.0028
0,7,25,0.00736
0,8,25,0.00215
0,9,25,0.00409
0,10,25,0.00491
0,11,25,0.00351
0,12,25,0
0,13,25,0.00497
0,14,25,0
0,15,25,0
0,16,25,0
0,17,25,0
0,18,25,0
0,19,25,0
0,20,25,0
0,21,25,0
0,22,25,0.00253
0,23,25,0
0,24,25,0
0,25,25,0
0,26,25,0
0,27,25,0
0,28,25,0
0,29,25,0
0,30,25,0
0,31,25,0
0,32,25,0
0,33,25,0
0,34,25,0
0,35,25,0
0,36,25,0
0,37,25,0
0,38,25,0
0,39,25,0
0,40,25,0
0,1,26,0.00209
0,2,26,0.00314
0,3,26,0.00523
0,4,26,0
0,5,26,0.0028
0,6,26,0
0,7,26,0.01344
0,8,26,0.01025
0,9,26,0.00736
0,10,26,0.00545
0,11,26,0
0,12,26,0.00295
0,13,26,0
0,14,26,0
0,15,26,0.00759
0,16,26,0
0,17,26,0
0,18,26,0
0,19,26,0
0,20,26,0.00253
0,21,26,0.00295
0,22,26,0
0,23,26,0
0,24,26,0
0,25,26,0
0,26,26,0
0,27,26,0
0,28,26,0
0,29,26,0
0,30,26,0
0,31,26,0
0,32,26,0
0,33,26,0
0,34,26,0
0,35,26,0
0,36,26,0
0,37,26,0
0,38,26,0
0,39,26,0
0,40,26,0
0,1,27,0.00172
0,2,27,0.00258
0,3,27,0.0043
0,4,27,0
0,5,27,0
0,6,27,0.0028
0,7,27,0.01328
0,8,27,0.00455
0,9,27,0.01049
0,10,27,0.00316
0,11,27,0.00205
0,12,27,0
0,13,27,0
0,14,27,0.00497
0,15,27,0
0,16,27,0
0,17,27,0
0,18,27,0.00253
0,19,27,0.00295
0,20,27,0
0,21,27,0
0,22,27,0
0,23,27,0
0,24,27,0
0,25,27,0
0,26,27,0
0,27,27,0
0,28,27,0
0,29,27,0
0,30,27,0
0,31,27,0
0,32,27,0
0,33,27,0
0,34,27,0
0,35,27,0
0,36,27,0
0,37,27,0
0,38,27,0
0,39,27,0
0,40,27,0
0,1,28,0.00243
0,2,28,0.00365
0,3,28,0.00608
0,4,28,0
0,5,28,0
0,6,28,0.01323
0,7,28,0.0024
0,8,28,0.00204
0,9,28,0.01294
0,10,28,0.00521
0,11,28,0.00465
0,12,28,0.00399
0,13,28,0.00497
0,14,28,0
0,15,28,0.00295
0,16,28,0
0,17,28,0
0,18,28,0
0,19,28,0.00295
0,20,28,0
0,21,28,0.00724
0,22,28,0
0,23,28,0
0,24,28,0
0,25,28,0
0,26,28,0
0,27,28,0
0,28,28,0
0,29,28,0
0,30,28,0
0,31,28,0
0,32,28,0
0,33,28,0
0,34,28,0
0,35,28,0
0,36,28,0
0,37,28,0
0,38,28,0
0,39,28,0
0,40,28,0
0,1,29,0.00179
0,2,29,0.00268
0,3,29,0.00447
0,4,29,0
0,5,29,0
0,6,29,0.0048
0,7,29,0.00765
0,8,29,0.00733
0,9,29,0
0,10,29,0
0,11,29,0
0,12,29,0.00362
0,13,29,0.00295
0,14,29,0.01191
0,15,29,0
0,16,29,0
0,17,29,0
0,18,29,0.00362
0,19,29,0
0,20,29,0.00295
0,21,29,0
0,22,29,0
0,23,29,0
0,24,29,0
0,25,29,0
0,26,29,0
0,27,29,0
0,28,29,0
0,29,29,0
0,30,29,0
0,31,29,0
0,32,29,0
0,33,29,0
0,34,29,0
0,35,29,0
0,36,29,0
0,37,29,0
0,38,29,0
0,39,29,0
0,40,29,0
0,1,30,0.00402
0,2,30,0.00603
0,3,30,0.01005
0,4,30,0.0028
0,5,30,0
0,6,30,0.00363
0,7,30,0.00613
0,8,30,0.00959
0,9,30,0.00736
0,10,30,0.00266
0,11,30,0.00158
0,12,30,0.01716
0,13,30,0.02516
0,14,30,0.01449
0,15,30,0
0,16,30,0
0,17,30,0
0,18,30,0
0,19,30,0.00399
0,20,30,0.00295
0,21,30,0
0,22,30,0
0,23,30,0
0,24,30,0
0,25,30,0
0,26,30,0
0,27,30,0
0,28,30,0
0,29,30,0
0,30,30,0
0,31,30,0
0,32,30,0
0,33,30,0
0,34,30,0
0,35,30,0
0,36,30,0
0,37,30,0
0,38,30,0
0,39,30,0
0,40,30,0
0,1,31,0.00115
0,2,31,0.00172
0,3,31,0.00287
0,4,31,0
0,5,31,0.0024
0,6,31,0.00204
0,7,31,0
0,8,31,0.00485
0,9,31,0.0024
0,10,31,0
0,11,31,0.00158
0,12,31,0
0,13,31,0.00399
0,14,31,0
0,15,31,0.00253
0,16,31,0.00497
0,17,31,0.00399
0,18,31,0
0,19,31,0
0,20,31,0
0,21,31,0
0,22,31,0
0,23,31,0
0,24,31,0
0,25,31,0
0,26,31,0
0,27,31,0
0,28,31,0
0,29,31,0
0,30,31,0
0,31,31,0
0,32,31,0
0,33,31,0
0,34,31,0
0,35,31,0
0,36,31,0
0,37,31,0
0,38,31,0
0,39,31,0
0,40,31,0
0,1,32,0.00338
0,2,32,0.00506
0,3,32,0.00844
0,4,32,0
0,5,32,0.0024
0,6,32,0.00215
0,7,32,0
0,8,32,0.0024
0,9,32,0
0,10,32,0.00545
0,11,32,0.00205
0,12,32,0
0,13,32,0.02892
0,14,32,0.00253
0,15,32,0
0,16,32,0
0,17,32,0
0,18,32,0.00253
0,19,32,0.00759
0,20,32,0.00399
0,21,32,0.01196
0,22,32,0
0,23,32,0
0,24,32,0.00497
0,25,32,0
0,26,32,0
0,27,32,0
0,28,32,0
0,29,32,0
0,30,32,0
0,31,32,0
0,32,32,0
0,33,32,0
0,34,32,0
0,35,32,0
0,36,32,0
0,37,32,0
0,38,32,0
0,39,32,0
0,40,32,0
0,1,33,0.00145
0,2,33,0.00218
0,3,33,0.00363
0,4,33,0
0,5,33,0.0024
0,6,33,0.0024
0,7,33,0
0,8,33,0.0028
0,9,33,0
0,10,33,0.00361
0,11,33,0
0,12,33,0.00253
0,13,33,0.00253
0,14,33,0.00253
0,15,33,0
0,16,33,0
0,17,33,0.00253
0,18,33,0
0,19,33,0
0,20,33,0
0,21,33,0
0,22,33,0.01308
0,23,33,0
0,24,33,0
0,25,33,0
0,26,33,0
0,27,33,0
0,28,33,0
0,29,33,0
0,30,33,0
0,31,33,0
0,32,33,0
0,33,33,0
0,34,33,0
0,35,33,0
0,36,33,0
0,37,33,0
0,38,33,0
0,39,33,0
0,40,33,0
0,1,34,0.00135
0,2,34,0.00203
0,3,34,0.00338
0,4,34,0
0,5,34,0.0024
0,6,34,0
0,7,34,0
0,8,34,0.00204
0,9,34,0.00761
0,10,34,0
0,11,34,0.00555
0,12,34,0
0,13,34,0
0,14,34,0.00759
0,15,34,0
0,16,34,0
0,17,34,0.00797
0,18,34,0
0,19,34,0
0,20,34,0
0,21,34,0
0,22,34,0
0,23,34,0
0,24,34,0
0,25,34,0
0,26,34,0
0,27,34,0
0,28,34,0
0,29,34,0
0,30,34,0
0,31,34,0
0,32,34,0
0,33,34,0
0,34,34,0
0,35,34,0
0,36,34,0
0,37,34,0
0,38,34,0
0,39,34,0
0,40,34,0
0,1,35,0.00078
0,2,35,0.00116
0,3,35,0.00194
0,4,35,0
0,5,35,0
0,6,35,0
0,7,35,0.0096
0,8,35,0
0,9,35,0
0,10,35,0
0,11,35,0
0,12,35,0
0,13,35,0.00497
0,14,35,0.00506
0,15,35,0
0,16,35,0
0,17,35,0
0,18,35,0
0,19,35,0
0,20,35,0
0,21,35,0
0,22,35,0
0,23,35,0
0,24,35,0
0,25,35,0
0,26,35,0
0,27,35,0
0,28,35,0
0,29,35,0
0,30,35,0
0,31,35,0
0,32,35,0
0,33,35,0
0,34,35,0
0,35,35,0
0,36,35,0
0,37,35,0
0,38,35,0
0,39,35,0
0,40,35,0
0,1,36,0.00034
0,2,36,0.00051
0,3,36,0.00084
0,4,36,0
0,5,36,0
0,6,36,0
0,7,36,0
0,8,36,0
0,9,36,0
0,10,36,0
0,11,36,0
0,12,36,0
0,13,36,0.00253
0,14,36,0.00253
0,15,36,0
0,16,36,0
0,17,36,0
0,18,36,0
0,19,36,0
0,20,36,0
0,21,36,0
0,22,36,0.00253
0,23,36,0
0,24,36,0
0,25,36,0
0,26,36,0
0,27,36,0
0,28,36,0
0,29,36,0
0,30,36,0
0,31,36,0
0,32,36,0
0,33,36,0
0,34,36,0
0,35,36,0
0,36,36,0
0,37,36,0
0,38,36,0
0,39,36,0
0,40,36,0
0,1,37,0.00135
0,2,37,0.00203
0,3,37,0.00338
0,4,37,0
0,5,37,0
0,6,37,0
0,7,37,0
0,8,37,0
0,9,37,0.00431
0,10,37,0
0,11,37,0
0,12,37,0.00399
0,13,37,0
0,14,37,0.00994
0,15,37,0
0,16,37,0
0,17,37,0
0,18,37,0
0,19,37,0.00295
0,20,37,0
0,21,37,0.00506
0,22,37,0
0,23,37,0.00253
0,24,37,0
0,25,37,0
0,26,37,0.00253
0,27,37,0
0,28,37,0
0,29,37,0
0,30,37,0
0,31,37,0
0,32,37,0
0,33,37,0
0,34,37,0
0,35,37,0
0,36,37,0
0,37,37,0
0,38,37,0
0,39,37,0
0,40,37,0
0,1,38,0.00138
0,2,38,0.00208
0,3,38,0.00346
0,4,38,0
0,5,38,0
0,6,38,0.00264
0,7,38,0
0,8,38,0
0,9,38,0
0,10,38,0
0,11,38,0
0,12,38,0.00497
0,13,38,0.00362
0,14,38,0
0,15,38,0.00399
0,16,38,0.00818
0,17,38,0
0,18,38,0.00295
0,19,38,0.00506
0,20,38,0
0,21,38,0
0,22,38,0
0,23,38,0
0,24,38,0
0,25,38,0
0,26,38,0
0,27,38,0
0,28,38,0
0,29,38,0
0,30,38,0
0,31,38,0
0,32,38,0
0,33,38,0
0,34,38,0
0,35,38,0
0,36,38,0
0,37,38,0
0,38,38,0
0,39,38,0
0,40,38,0
0,1,39,0.00098
0,2,39,0.00147
0,3,39,0.00245
0,4,39,0
0,5,39,0
0,6,39,0
0,7,39,0
0,8,39,0
0,9,39,0
0,10,39,0
0,11,39,0.00194
0,12,39,0
0,13,39,0.00253
0,14,39,0
0,15,39,0.00896
0,16,39,0
0,17,39,0
0,18,39,0
0,19,39,0
0,20,39,0
0,21,39,0
0,22,39,0.00548
0,23,39,0.00253
0,24,39,0
0,25,39,0
0,26,39,0
0,27,39,0
0,28,39,0
0,29,39,0
0,30,39,0
0,31,39,0
0,32,39,0
0,33,39,0
0,34,39,0
0,35,39,0
0,36,39,0
0,37,39,0
0,38,39,0
0,39,39,0
0,40,39,0
0,1,40,0.00284
0,2,40,0.0043
0,3,40,0.00709
0,4,40,0
0,5,40,0
0,6,40,0
0,7,40,0
0,8,40,0
0,9,40,0.0028
0,10,40,0
0,11,40,0.0015
0,12,40,0
0,13,40,0.00253
0,14,40,0.0075
0,15,40,0.00259
0,16,40,0.00257
0,17,40,0.00994
0,18,40,0.00629
0,19,40,0.00818
0,20,40,0
0,21,40,0
0,22,40,0.01258
0,23,40,0
0,24,40,0
0,25,40,0.00759
0,26,40,0
0,27,40,0
0,28,40,0
0,29,40,0
0,30,40,0
0,31,40,0
0,32,40,0
0,33,40,0
0,34,40,0
0,35,40,0
0,36,40,0
0,37,40,0
0,38,40,0
0,39,40,0
0,40,40,0
1,1,1,0
1,2,1,0
1,3,1,0
1,4,1,0
1,5,1,0
1,6,1,0
1,7,1,0
1,8,1,0
1,9,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,1,0
1,14,1,0
1,15,1,0
1,16,1,0
1,17,1,0
1,18,1,0
1,19,1,0
1,20,1,0
1,21,1,0
1,22,1,0
1,23,1,0
1,24,1,0
1,25,1,0
1,26,1,0
1,27,1,0
1,28,1,0
1,29,1,0
1,30,1,0
1,31,1,0
1,32,1,0
1,33,1,0
1,34,1,0
1,35,1,0
1,36,1,0
1,37,1,0
1,38,1,0
1,39,1,0
1,40,1,0
1,1,2,0
1,2,2,0
1,3,2,0
1,4,2,0
1,5,2,0
1,6,2,0
1,7,2,0
1,8,2,0
1,9,2,0
1,10,2,0
1,11,2,0
1,12,2,0
1,13,2,0
1,14,2,0
1,15,2,0
1,16,2,0
1,17,2,0
