Model,Alternative,Matrix,Index1,Index2,Value,Comment,Comment2,Comment3,Comment4,Comment5,End
TripMatrix,H:T,CVM_AM:HT,tripOut,6,9,Light 6:00 to 9:00,toll,,CVM_AM:HT,,End
TripMatrix,H:T,CVM_MD:HT,tripOut,9,15.5,Light 9 to 15:30,toll,,CVM_MD:HT,,End
TripMatrix,H:T,CVM_PM:HT,tripOut,15.5,19,Light 15:30 to 19:00,toll,,CVM_PM:HT,,End
TripMatrix,H:T,CVM_EV:HT,tripOut,19,27,Light 19:00 to 03:00,toll,,CVM_EV:HT,,End
TripMatrix,H:T,CVM_EV:HT,tripOut,0,3,Light 19:00 to 03:00,toll,,CVM_EV:HT,,End
TripMatrix,L:NT,CVM_EA:LNT,tripOut,3,6,Light 3:00 to 6:00,nontoll,,CVM_EA:LNT,,End
TripMatrix,L:NT,CVM_AM:LNT,tripOut,6,9,Light 6:00 to 9:00,nontoll,,CVM_AM:LNT,,End
TripMatrix,L:NT,CVM_MD:LNT,tripOut,9,15.5,Light 9 to 15:30,nontoll,,CVM_MD:LNT,,End
TripMatrix,L:NT,CVM_PM:LNT,tripOut,15.5,19,Light 15:30 to 19:00,nontoll,,CVM_PM:LNT,,End
TripMatrix,L:NT,CVM_EV:LNT,tripOut,19,24,Light 19:00 to 03:00,nontoll,,CVM_EV:LNT,,End
TripMatrix,L:NT,CVM_EV:LNT,tripOut,0,3,Light 19:00 to 03:00,nontoll,,CVM_EV:LNT,,End
TripMatrix,I:NT,CVM_EA:INT,tripOut,3,6,Light 3:00 to 6:00,nontoll,,CVM_EA:INT,,End
TripMatrix,I:NT,CVM_AM:INT,tripOut,6,9,Light 6:00 to 9:00,nontoll,,CVM_AM:INT,,End
TripMatrix,I:NT,CVM_MD:INT,tripOut,9,15.5,Light 9 to 15:30,nontoll,,CVM_MD:INT,,End
TripMatrix,I:NT,CVM_PM:INT,tripOut,15.5,19,Light 15:30 to 19:00,nontoll,,CVM_PM:INT,,End
TripMatrix,I:NT,CVM_EV:INT,tripOut,19,24,Light 19:00 to 03:00,nontoll,,CVM_EV:INT,,End
TripMatrix,I:NT,CVM_EV:INT,tripOut,0,3,Light 19:00 to 03:00,nontoll,,CVM_EV:INT,,End
TripMatrix,M:NT,CVM_EA:MNT,tripOut,3,6,Light 3:00 to 6:00,nontoll,,CVM_EA:MNT,,End
TripMatrix,M:NT,CVM_AM:MNT,tripOut,6,9,Light 6:00 to 9:00,nontoll,,CVM_AM:MNT,,End
TripMatrix,M:NT,CVM_MD:MNT,tripOut,9,15.5,Light 9 to 15:30,nontoll,,CVM_MD:MNT,,End
TripMatrix,M:NT,CVM_PM:MNT,tripOut,15.5,19,Light 15:30 to 19:00,nontoll,,CVM_PM:MNT,,End
TripMatrix,M:NT,CVM_EV:MNT,tripOut,19,27,Light 19:00 to 03:00,nontoll,,CVM_EV:MNT,,End
TripMatrix,M:NT,CVM_EV:MNT,tripOut,0,3,Light 19:00 to 03:00,nontoll,,CVM_EV:MNT,,End
TripMatrix,H:NT,CVM_EA:HNT,tripOut,3,6,Light 3:00 to 6:00,nontoll,,CVM_EA:HNT,,End
TripMatrix,H:NT,CVM_AM:HNT,tripOut,6,9,Light 6:00 to 9:00,nontoll,,CVM_AM:HNT,,End
TripMatrix,H:NT,CVM_MD:HNT,tripOut,9,15.5,Light 9 to 15:30,nontoll,,CVM_MD:HNT,,End
TripMatrix,H:NT,CVM_PM:HNT,tripOut,15.5,19,Light 15:30 to 19:00,nontoll,,CVM_PM:HNT,,End
TripMatrix,H:NT,CVM_EV:HNT,tripOut,19,27,Light 19:00 to 03:00,nontoll,,CVM_EV:HNT,,End
TripMatrix,H:NT,CVM_EV:HNT,tripOut,0,3,Light 19:00 to 03:00,nontoll,,CVM_EV:HNT,,End
LandUseTypeCode,,CVM_LU_Type,,,0,land use type code, ,,LandUseTypeCode,,End
ShipNoShip,NoShip,,,,0,,,,,,
ShipNoShip,Ship,,,,-3.6358,,,,,,
ShipNoShip,Ship,CVM_LU_Res,,,0,,,,,,
ShipNoShip,Ship,CVM_LU_Ret,,,0,,,,,,
ShipNoShip,Ship,CVM_LU_Ind,,,-0.1177,,,,,,
ShipNoShip,Ship,CVM_LU_Emp,,,-0.7016,,,,,,
ShipNoShip,Ship,REZone,,,0,,,,,,
ShipNoShip,Ship,PctIN,,,3.073,,,,,,
ShipNoShip,Ship,PctWH,,,5.181,,,,,,
ShipNoShip,Ship,PctRE,,,0,,,,,,
ShipNoShip,Ship,PctSV,,,2.322,,,,,,
ShipNoShip,Ship,PctTH,,,3.081,,,,,,
ShipNoShip,Ship,CUGen,,,0.518,,,,,,
GenPerEmployee,Gen,,,,-2.7782,,,,,,
GenPerEmployee,Gen,CVM_LU_Low,,,0,,,,,,
GenPerEmployee,Gen,CVM_LU_Res,,,0,,,,,,
GenPerEmployee,Gen,CVM_LU_Ret,,,-0.7137,,,,,,
GenPerEmployee,Gen,CVM_LU_Ind,,,0,,,,,,
GenPerEmployee,Gen,CVM_LU_Emp,,,-2.0166,,,,,,
GenPerEmployee,Gen,PctIN,,,0,,,,,,
GenPerEmployee,Gen,PctWH,,,0,,,,,,
GenPerEmployee,Gen,PctRE,,,1.0441,,,,,,
GenPerEmployee,Gen,PctSV,,,0,,,,,,
GenPerEmployee,Gen,PctTH,,,0,,,,,,
GenPerEmployee,Gen,LnJobs30,,,-0.2441,,,,,,
GenPerEmployee,Gen,CUTimeOD,,,0.2308,,,,,,
TourTOD,OE,top,nest,,0,,,,,,
TourTOD,AM,10,nest,,0,,,,,,
TourTOD,MD,top,nest,,0,,,,,,
TourTOD,PM,10,nest,,0,,,,,,
TourTOD,OL,top,nest,,0,,,,,,
TourTOD,10,top,nest,,0.7228,,,,,,
TourTOD,OE,,,,-1.015,,,,,,
TourTOD,OE,CVM_LU_Res,,,0,,,,,,
TourTOD,OE,CVM_LU_Ind,,,-0.5162,,,,,,
TourTOD,OE,CVM_LU_Emp,,,-0.8024,,,,,,
TourTOD,OE,Over3K_IN,,,0,,,,,,
TourTOD,OE,Over3K_RE,,,0,,,,,,
TourTOD,OE,Over3K_SV,,,-0.4914,,,,,,
TourTOD,OE,PctIN,,,0,,,,,,
TourTOD,OE,PctRE,,,0,,,,,,
TourTOD,OE,PctSV,,,-0.85204,,,,,,
TourTOD,OE,PctTH,,,0,,,,,,
TourTOD,OE,CUPurpVeh,,,0,,,,,,
TourTOD,AM,,,,0.1447,,,,,,
TourTOD,AM,CVM_LU_Res,,,0,,,,,,
TourTOD,AM,CVM_LU_Ind,,,0,,,,,,
TourTOD,AM,CVM_LU_Emp,,,0,,,,,,
TourTOD,AM,Over3K_IN,,,0,,,,,,
TourTOD,AM,Over3K_WH,,,0,,,,,,
TourTOD,AM,Over3K_SV,,,0.2697,,,,,,
TourTOD,AM,PctRE,,,0,,,,,,
TourTOD,AM,PctSV,,,-0.586,,,,,,
TourTOD,AM,PctTH,,,0,,,,,,
TourTOD,AM,CUPurpVeh,,,0.2407,,,,,,
TourTOD,MD,,,,0.8186,,,,,,
TourTOD,MD,CUPurpVeh,,,0.2407,,,,,,
TourTOD,PM,,,,-1.4396,,,,,,
TourTOD,PM,CVM_LU_Ret,,,0,,,,,,
TourTOD,PM,CVM_LU_Ind,,,-0.5919,,,,,,
TourTOD,PM,CVM_LU_Emp,,,0.6292,,,,,,
TourTOD,PM,PctWH,,,0,,,,,,
TourTOD,PM,PctRE,,,0,,,,,,
TourTOD,PM,REZone,,,0,,,,,,
TourTOD,PM,CUPurpVeh,,,0.2407,,,,,,
TourTOD,OL,,,,-1.6129,,,,,,
TourTOD,OL,CVM_LU_Res,,,0,,,,,,
TourTOD,OL,CVM_LU_Ind,,,-0.3414,,,,,,
TourTOD,OL,Over3K_WH,,,0,,,,,,
TourTOD,OL,PctIN,,,0,,,,,,
TourTOD,OL,PctRE,,,0,,,,,,
TourTOD,OL,CUPurpVeh,,,0,,,,,,
VehicleTourType,HG,47,nest,,0,,,,VehicleTourType,,End
VehicleTourType,HO,47,nest,,0,,,,VehicleTourType,,End
VehicleTourType,HS,47,nest,,0,,,,VehicleTourType,,End
VehicleTourType,LG,48,nest,,0,,,,VehicleTourType,,End
VehicleTourType,LO,46,nest,,0,,,,VehicleTourType,,End
VehicleTourType,LS,48,nest,,0,,,,VehicleTourType,,End
VehicleTourType,IG,49,nest,,0,,,,VehicleTourType,,End
VehicleTourType,IO,46,nest,,0,,,,VehicleTourType,,End
VehicleTourType,IS,49,nest,,0,,,,VehicleTourType,,End
VehicleTourType,MG,45,nest,,0,,,,VehicleTourType,,End
VehicleTourType,MO,46,nest,,0,,,,VehicleTourType,,End
VehicleTourType,MS,45,nest,,0,,,,VehicleTourType,,End
VehicleTourType,45,44,nest,0.595,0.595,,,,VehicleTourType,,End
VehicleTourType,48,44,nest,0.595,0.595,,,,VehicleTourType,,End
VehicleTourType,49,44,nest,0.595,0.595,,,,VehicleTourType,,End
VehicleTourType,44,top,nest,0.8385,0.8385,,,,VehicleTourType,,End
VehicleTourType,46,top,nest,0.468,0.468,,,,VehicleTourType,,End
VehicleTourType,47,top,nest,0.358,0.358,,,,VehicleTourType,,End
VehicleTourType,LG,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,LO,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,LS,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,IG,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,IO,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,IS,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,MG,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,MO,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,MS,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,HS,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,HG,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,HO,,,,0,Calibration Constant,,,VehicleTourType,,End
VehicleTourType,LS,Acc_LE,origin,,0.00004099,Employment Accessibility - Light,,,VehicleTourType,,End
VehicleTourType,LG,Acc_LE,origin,,0.00004099,Employment Accessibility - Light,,,VehicleTourType,,End
VehicleTourType,LO,Acc_LE,origin,,0.00004099,Employment Accessibility - Light,,,VehicleTourType,,End
VehicleTourType,IS,Acc_ME,origin,,0.00004099,Employment Accessibility - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,IG,Acc_ME,origin,,0.00004099,Employment Accessibility - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,IO,Acc_ME,origin,,0.00004099,Employment Accessibility - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,MS,Acc_ME,origin,,0.00004099,Employment Accessibility - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,MG,Acc_ME,origin,,0.00004099,Employment Accessibility - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,MO,Acc_ME,origin,,0.00004099,Employment Accessibility - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,HS,Acc_HE,origin,,0.00004099,Employment Accessibility - Heavy,,,VehicleTourType,,End
VehicleTourType,HG,Acc_HE,origin,,0.00004099,Employment Accessibility - Heavy,,,VehicleTourType,,End
VehicleTourType,HO,Acc_HE,origin,,0.00004099,Employment Accessibility - Heavy,,,VehicleTourType,,End
VehicleTourType,LS,Acc_LP,origin,,0.00004099,Population accessibility - Light,,,VehicleTourType,,End
VehicleTourType,LG,Acc_LP,origin,,0.00004099,Population accessibility - Light,,,VehicleTourType,,End
VehicleTourType,LO,Acc_LP,origin,,0.00004099,Population accessibility - Light,,,VehicleTourType,,End
VehicleTourType,IS,Acc_MP,origin,,0.00004099,Population Accessibility - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,IG,Acc_MP,origin,,0.00004099,Population Accessibility - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,IO,Acc_MP,origin,,0.00004099,Population Accessibility - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,MS,Acc_MP,origin,,0.00004099,Population accessibility - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,MG,Acc_MP,origin,,0.00004099,Population accessibility - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,MO,Acc_MP,origin,,0.00004099,Population accessibility - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,HS,Acc_HP,origin,,0.00004099,Population accessibility - Heavy,,,VehicleTourType,,End
VehicleTourType,HG,Acc_HP,origin,,0.00004099,Population accessibility - Heavy,,,VehicleTourType,,End
VehicleTourType,HO,Acc_HP,origin,,0.00004099,Population accessibility - Heavy,,,VehicleTourType,,End
VehicleTourType,LG,CVM_LU_Ind,origin,,1.873,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IG,CVM_LU_Ind,origin,,1.873,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MG,CVM_LU_Ind,origin,,1.873,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HG,CVM_LU_Ind,origin,,1.873,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,LS,CVM_LU_Ind,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IS,CVM_LU_Ind,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MS,CVM_LU_Ind,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HS,CVM_LU_Ind,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IS,CVM_LU_Ind,origin,,0.9352,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IG,CVM_LU_Ind,origin,,0.9352,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IO,CVM_LU_Ind,origin,,0.9352,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HS,CVM_LU_Ind,origin,,-4.918,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HG,CVM_LU_Ind,origin,,-4.918,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HO,CVM_LU_Ind,origin,,-4.918,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,LS,CVM_LU_Emp,origin,,-0.4268,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IS,CVM_LU_Emp,origin,,-0.4268,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MS,CVM_LU_Emp,origin,,-0.4268,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HS,CVM_LU_Emp,origin,,-0.4268,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,LO,CVM_LU_Emp,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IO,CVM_LU_Emp,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MO,CVM_LU_Emp,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HO,CVM_LU_Emp,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MS,CVM_LU_Emp,origin,,-2.536,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MG,CVM_LU_Emp,origin,,-2.536,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MO,CVM_LU_Emp,origin,,-2.536,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HS,CVM_LU_Emp,origin,,-7.733,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HG,CVM_LU_Emp,origin,,-7.733,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HO,CVM_LU_Emp,origin,,-7.733,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,LS,CVM_LU_Ret,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IS,CVM_LU_Ret,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MS,CVM_LU_Ret,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HS,CVM_LU_Ret,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IS,CVM_LU_Ret,origin,,-1.12,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IG,CVM_LU_Ret,origin,,-1.12,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IO,CVM_LU_Ret,origin,,-1.12,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HS,CVM_LU_Ret,origin,,-7.077,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HG,CVM_LU_Ret,origin,,-7.077,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HO,CVM_LU_Ret,origin,,-7.077,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,LS,CVM_LU_Res,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IS,CVM_LU_Res,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MS,CVM_LU_Res,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HS,CVM_LU_Res,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,LO,CVM_LU_Res,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IO,CVM_LU_Res,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MO,CVM_LU_Res,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HO,CVM_LU_Res,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IS,CVM_LU_Res,origin,,-2.657,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IG,CVM_LU_Res,origin,,-2.657,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,IO,CVM_LU_Res,origin,,-2.657,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MS,CVM_LU_Res,origin,,-3.271,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MG,CVM_LU_Res,origin,,-3.271,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,MO,CVM_LU_Res,origin,,-3.271,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HS,CVM_LU_Res,origin,,-6.842,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HG,CVM_LU_Res,origin,,-6.842,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,HO,CVM_LU_Res,origin,,-6.842,Vehicle Constant given land use type indicated in Index2,,,VehicleTourType,,End
VehicleTourType,LG,PctIN,origin,,0.5355,percent employment industrial - Goods,,,VehicleTourType,,End
VehicleTourType,IG,PctIN,origin,,0.5355,percent employment industrial - Goods,,,VehicleTourType,,End
VehicleTourType,MG,PctIN,origin,,0.5355,percent employment industrial - Goods,,,VehicleTourType,,End
VehicleTourType,HG,PctIN,origin,,0.5355,percent employment industrial - Goods,,,VehicleTourType,,End
VehicleTourType,MS,PctIN,origin,,0,percent employment industrial - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,MG,PctIN,origin,,0,percent employment industrial - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,MO,PctIN,origin,,0,percent employment industrial - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,HS,PctIN,origin,,0,percent employment industrial - Heavy,,,VehicleTourType,,End
VehicleTourType,HG,PctIN,origin,,0,percent employment industrial - Heavy,,,VehicleTourType,,End
VehicleTourType,HO,PctIN,origin,,0,percent employment industrial - Heavy,,,VehicleTourType,,End
VehicleTourType,IS,PctWH,origin,,0,percent employment wholesale - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,IG,PctWH,origin,,0,percent employment wholesale - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,IO,PctWH,origin,,0,percent employment wholesale - Medium Lesser 9.6T,,,VehicleTourType,,End
VehicleTourType,MS,PctWH,origin,,0,percent employment wholesale - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,MG,PctWH,origin,,0,percent employment wholesale - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,MO,PctWH,origin,,0,percent employment wholesale - Medium Greater 9.6T,,,VehicleTourType,,End
VehicleTourType,HS,PctWH,origin,,0,percent employment wholesale - Heavy,,,VehicleTourType,,End
VehicleTourType,HG,PctWH,origin,,0,percent employment wholesale - Heavy,,,VehicleTourType,,End
VehicleTourType,HO,PctWH,origin,,0,percent employment wholesale - Heavy,,,VehicleTourType,,End
VehicleTourType,LG,,,,0,Tour Purpose Constant_MASTER for SE Goods,,,VehicleTourType,,End
VehicleTourType,IG,,,,0,Tour Purpose Constant_slave for SE Goods (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,MG,,,,0,Tour Purpose Constant_slave for SE Goods (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,HG,,,,0,Tour Purpose Constant_slave for SE Goods (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,LS,,,,2.6633,Tour Purpose Constant_MASTER for SE Service,,,VehicleTourType,,End
VehicleTourType,IS,,,,2.6633,Tour Purpose Constant_slave for SE Service (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,MS,,,,2.6633,Tour Purpose Constant_slave for SE Service (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,HS,,,,2.6633,Tour Purpose Constant_slave for SE Service (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,LO,,,,-1.723,Tour Purpose Constant_MASTER for SE Other,,,VehicleTourType,,End
VehicleTourType,IO,,,,-1.723,Tour Purpose Constant_slave for SE Other (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,MO,,,,-1.723,Tour Purpose Constant_slave for SE Other (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,HO,,,,-1.723,Tour Purpose Constant_slave for SE Other (master in SE-Early),,,VehicleTourType,,End
VehicleTourType,LS,,,,0,Vehicle Constant_MASTER for SE Light,,,VehicleTourType,,End
VehicleTourType,LG,,,,0,Vehicle Constant_slave for SE Light (master SE SE_Early Light),,,VehicleTourType,,End
VehicleTourType,LO,,,,0,Vehicle Constant_slave for SE Light (master SE SE_Early Light),,,VehicleTourType,,End
VehicleTourType,IS,,,,-4.7268,Vehicle Constant_MASTER for SE Medium<=8T,,,VehicleTourType,,End
VehicleTourType,IG,,,,-4.7268,Vehicle Constant_slave for SE Medium<=9.6T (master SE SE_Early Medium<=9.6T),,,VehicleTourType,,End
VehicleTourType,IO,,,,-4.7268,Vehicle Constant_slave for SE Medium<=9.6T (master SE SE_Early Medium<=9.6T),,,VehicleTourType,,End
VehicleTourType,MS,,,,-1.9909,Vehicle Constant_MASTER for SE Medium>9.6T,,,VehicleTourType,,End
VehicleTourType,MG,,,,-1.9909,Vehicle Constant_slave for SE Medium>9.6T (master SE SE_Early Medium>9.6T),,,VehicleTourType,,End
VehicleTourType,MO,,,,-1.9909,Vehicle Constant_slave for SE Medium>9.6T (master SE SE_Early Medium>9.6T),,,VehicleTourType,,End
VehicleTourType,HS,,,,1.4527,Vehicle Constant_MASTER for SE Heavy,,,VehicleTourType,,End
