distbin,District,purpose,value
1,1: Downtown,Work,7151.0776
2,1: Downtown,Work,1220.9641
3,1: Downtown,Work,1303.9622
4,1: Downtown,Work,282.7968
5,1: Downtown,Work,269.7468
6,1: Downtown,Work,974.2289
7,1: Downtown,Work,246.3954
8,1: Downtown,Work,257.8277
9,1: Downtown,Work,752.292
10,1: Downtown,Work,634.9438
11,1: Downtown,Work,39.391
12,1: Downtown,Work,117.5281
13,1: Downtown,Work,308.2377
14,1: Downtown,Work,141.3186
15,1: Downtown,Work,1124.1999
16,1: Downtown,Work,832.4856
17,1: Downtown,Work,263.7868
18,1: Downtown,Work,325.0575
19,1: Downtown,Work,75.5493
20,1: Downtown,Work,39.5185
21,1: Downtown,Work,148.5119
22,1: Downtown,Work,79.0174
23,1: Downtown,Work,39.521
24,1: Downtown,Work,420.3247
25,1: Downtown,Work,59.3041
26,1: Downtown,Work,19.7672
27,1: Downtown,Work,19.7455
28,1: Downtown,Work,0
29,1: Downtown,Work,0
30,1: Downtown,Work,0
31,1: Downtown,Work,0
32,1: Downtown,Work,19.7514
33,1: Downtown,Work,0
34,1: Downtown,Work,19.7672
35,1: Downtown,Work,19.7455
36,1: Downtown,Work,19.7672
37,1: Downtown,Work,0
38,1: Downtown,Work,0
39,1: Downtown,Work,0
40,1: Downtown,Work,19.7415
41,1: Downtown,Work,0
42,1: Downtown,Work,19.7672
43,1: Downtown,Work,0
44,1: Downtown,Work,0
45,1: Downtown,Work,0
46,1: Downtown,Work,0
47,1: Downtown,Work,0
48,1: Downtown,Work,0
49,1: Downtown,Work,0
50,1: Downtown,Work,0
51,1: Downtown,Work,0
1,2: Central,Work,2633.6942
2,2: Central,Work,12812.1103
3,2: Central,Work,7299.0481
4,2: Central,Work,16792.8212
5,2: Central,Work,8014.5758
6,2: Central,Work,12030.4317
7,2: Central,Work,12903.6501
8,2: Central,Work,14886.9029
9,2: Central,Work,14424.944
10,2: Central,Work,17645.7837
11,2: Central,Work,10436.1809
12,2: Central,Work,7202.8715
13,2: Central,Work,10783.7743
14,2: Central,Work,6085.3853
15,2: Central,Work,12696.0062
16,2: Central,Work,7961.4081
17,2: Central,Work,6827.9988
18,2: Central,Work,3213.8226
19,2: Central,Work,7770.0669
20,2: Central,Work,3355.8469
21,2: Central,Work,446.864
22,2: Central,Work,1621.9183
23,2: Central,Work,2322.4897
24,2: Central,Work,387.4311
25,2: Central,Work,944.1374
26,2: Central,Work,434.9907
27,2: Central,Work,1561.3164
28,2: Central,Work,374.0145
29,2: Central,Work,198.1472
30,2: Central,Work,201.5184
31,2: Central,Work,142.2809
32,2: Central,Work,210.3757
33,2: Central,Work,869.6476
34,2: Central,Work,170.6552
35,2: Central,Work,65.8822
36,2: Central,Work,679.7302
37,2: Central,Work,0
38,2: Central,Work,0
39,2: Central,Work,537.3334
40,2: Central,Work,0
41,2: Central,Work,1549.652
42,2: Central,Work,0
43,2: Central,Work,0
44,2: Central,Work,0
45,2: Central,Work,0
46,2: Central,Work,0
47,2: Central,Work,0
48,2: Central,Work,0
49,2: Central,Work,0
50,2: Central,Work,0
51,2: Central,Work,114.6893
1,3: North City,Work,10149.2968
2,3: North City,Work,16664.239
3,3: North City,Work,14454.6172
4,3: North City,Work,16377.5476
5,3: North City,Work,16656.1014
6,3: North City,Work,21934.6416
7,3: North City,Work,14009.6179
8,3: North City,Work,18991.7179
9,3: North City,Work,25134.1936
10,3: North City,Work,17195.8688
11,3: North City,Work,13929.6067
12,3: North City,Work,11258.9269
13,3: North City,Work,14283.1452
14,3: North City,Work,9305.0173
15,3: North City,Work,10491.253
16,3: North City,Work,9512.0204
17,3: North City,Work,13599.126
18,3: North City,Work,9562.7375
19,3: North City,Work,16412.1765
20,3: North City,Work,3254.9089
21,3: North City,Work,7505.3135
22,3: North City,Work,2154.2429
23,3: North City,Work,3341.1846
24,3: North City,Work,2304.2323
25,3: North City,Work,3497.1236
26,3: North City,Work,2468.8425
27,3: North City,Work,3049.8989
28,3: North City,Work,1833.2791
29,3: North City,Work,752.9162
30,3: North City,Work,2529.8267
31,3: North City,Work,0
32,3: North City,Work,139.0417
33,3: North City,Work,565.0505
34,3: North City,Work,0
35,3: North City,Work,245.9648
36,3: North City,Work,0
37,3: North City,Work,494.7613
38,3: North City,Work,104.4645
39,3: North City,Work,0
40,3: North City,Work,0
41,3: North City,Work,0
42,3: North City,Work,0
43,3: North City,Work,0
44,3: North City,Work,0
45,3: North City,Work,0
46,3: North City,Work,0
47,3: North City,Work,74.8401
48,3: North City,Work,171.1385
49,3: North City,Work,65.8224
50,3: North City,Work,463.9399
51,3: North City,Work,0
1,4: South Suburban,Work,7025.6181
2,4: South Suburban,Work,2331.5375
3,4: South Suburban,Work,7218.7132
4,4: South Suburban,Work,7551.4927
5,4: South Suburban,Work,3950.2965
6,4: South Suburban,Work,8484.2052
7,4: South Suburban,Work,5437.705
8,4: South Suburban,Work,2146.7468
9,4: South Suburban,Work,2980.0754
10,4: South Suburban,Work,3644.1581
11,4: South Suburban,Work,3733.1284
12,4: South Suburban,Work,5491.4274
13,4: South Suburban,Work,7433.1599
14,4: South Suburban,Work,5950.9675
15,4: South Suburban,Work,4882.3617
16,4: South Suburban,Work,9382.2991
17,4: South Suburban,Work,12237.6569
18,4: South Suburban,Work,4065.2869
19,4: South Suburban,Work,4887.5982
20,4: South Suburban,Work,2720.8336
21,4: South Suburban,Work,2855.8497
22,4: South Suburban,Work,4440.0723
23,4: South Suburban,Work,1196.2438
24,4: South Suburban,Work,1392.1643
25,4: South Suburban,Work,2740.3343
26,4: South Suburban,Work,1855.3306
27,4: South Suburban,Work,4909.2986
28,4: South Suburban,Work,65.4771
29,4: South Suburban,Work,357.2763
30,4: South Suburban,Work,65.6496
31,4: South Suburban,Work,183.992
32,4: South Suburban,Work,65.1586
33,4: South Suburban,Work,0
34,4: South Suburban,Work,130.2154
35,4: South Suburban,Work,65.6714
36,4: South Suburban,Work,0
37,4: South Suburban,Work,0
38,4: South Suburban,Work,65.7202
39,4: South Suburban,Work,0
40,4: South Suburban,Work,1340.5237
41,4: South Suburban,Work,0
42,4: South Suburban,Work,0
43,4: South Suburban,Work,0
44,4: South Suburban,Work,0
45,4: South Suburban,Work,0
46,4: South Suburban,Work,0
47,4: South Suburban,Work,0
48,4: South Suburban,Work,0
49,4: South Suburban,Work,0
50,4: South Suburban,Work,0
51,4: South Suburban,Work,0
1,5: East Suburban,Work,6758.0357
2,5: East Suburban,Work,9127.524
3,5: East Suburban,Work,6811.106
4,5: East Suburban,Work,5584.4767
5,5: East Suburban,Work,5819.8784
6,5: East Suburban,Work,5596.0849
7,5: East Suburban,Work,5883.5834
8,5: East Suburban,Work,5818.5547
9,5: East Suburban,Work,7462.2459
10,5: East Suburban,Work,5860.9269
11,5: East Suburban,Work,4296.6431
12,5: East Suburban,Work,2208.6357
13,5: East Suburban,Work,7531.2385
14,5: East Suburban,Work,5793.7092
15,5: East Suburban,Work,7027.2002
16,5: East Suburban,Work,6311.1071
17,5: East Suburban,Work,3294.5771
18,5: East Suburban,Work,4715.2883
19,5: East Suburban,Work,4031.5054
20,5: East Suburban,Work,10090.329
21,5: East Suburban,Work,6764.7093
22,5: East Suburban,Work,1492.1863
23,5: East Suburban,Work,4191.9722
24,5: East Suburban,Work,3193.5218
25,5: East Suburban,Work,1447.7072
26,5: East Suburban,Work,2898.9303
27,5: East Suburban,Work,297.9513
28,5: East Suburban,Work,1588.7042
29,5: East Suburban,Work,84.6859
30,5: East Suburban,Work,150.0882
31,5: East Suburban,Work,65.2631
32,5: East Suburban,Work,1317.9402
33,5: East Suburban,Work,249.7969
34,5: East Suburban,Work,114.6194
35,5: East Suburban,Work,65.3401
36,5: East Suburban,Work,195.7196
37,5: East Suburban,Work,1338.9885
38,5: East Suburban,Work,65.0568
39,5: East Suburban,Work,65.1258
40,5: East Suburban,Work,1341.1231
41,5: East Suburban,Work,65.0568
42,5: East Suburban,Work,0
43,5: East Suburban,Work,1342.5356
44,5: East Suburban,Work,146.6497
45,5: East Suburban,Work,0
46,5: East Suburban,Work,0
47,5: East Suburban,Work,0
48,5: East Suburban,Work,0
49,5: East Suburban,Work,119.1071
50,5: East Suburban,Work,0
51,5: East Suburban,Work,1548.6598
1,6: North County West,Work,3465.1314
2,6: North County West,Work,6307.0023
3,6: North County West,Work,6819.701
4,6: North County West,Work,11894.1127
5,6: North County West,Work,6560.8403
6,6: North County West,Work,5039.0921
7,6: North County West,Work,7155.5329
8,6: North County West,Work,8941.241
9,6: North County West,Work,6803.0991
10,6: North County West,Work,5366.0454
11,6: North County West,Work,3898.063
12,6: North County West,Work,6100.5039
13,6: North County West,Work,6315.3289
14,6: North County West,Work,2084.5327
15,6: North County West,Work,1224.7389
16,6: North County West,Work,2843.9719
17,6: North County West,Work,2837.0035
18,6: North County West,Work,5239.0816
19,6: North County West,Work,1529.8684
20,6: North County West,Work,507.6914
21,6: North County West,Work,1401.9831
22,6: North County West,Work,2047.7653
23,6: North County West,Work,2104.3305
24,6: North County West,Work,665.6703
25,6: North County West,Work,289.1163
26,6: North County West,Work,2243.1143
27,6: North County West,Work,1631.4096
28,6: North County West,Work,833.3768
29,6: North County West,Work,65.6781
30,6: North County West,Work,4267.8964
31,6: North County West,Work,712.4592
