tripmode,tourmode,purpose,value,grp_var
1,Auto SOV,work,2413483,worktourmode1
2,Auto SOV,work,0,worktourmode1
3,Auto SOV,work,0,worktourmode1
4,Auto SOV,work,0,worktourmode1
5,Auto SOV,work,0,worktourmode1
6,Auto SOV,work,0,worktourmode1
7,Auto SOV,work,0,worktourmode1
8,Auto SOV,work,0,worktourmode1
9,Auto SOV,work,0,worktourmode1
1,Auto 2 Person,work,283565.8989,worktourmode2
2,Auto 2 Person,work,306194.6499,worktourmode2
3,Auto 2 Person,work,937.0732463,worktourmode2
4,Auto 2 Person,work,21131.37794,worktourmode2
5,Auto 2 Person,work,0,worktourmode2
6,Auto 2 Person,work,0,worktourmode2
7,Auto 2 Person,work,0,worktourmode2
8,Auto 2 Person,work,0,worktourmode2
9,Auto 2 Person,work,0,worktourmode2
1,Auto 3+ Person,work,120709.3659,worktourmode3
2,Auto 3+ Person,work,41297.37945,worktourmode3
3,Auto 3+ Person,work,108088.5426,worktourmode3
4,Auto 3+ Person,work,7588.712062,worktourmode3
5,Auto 3+ Person,work,0,worktourmode3
6,Auto 3+ Person,work,0,worktourmode3
7,Auto 3+ Person,work,0,worktourmode3
8,Auto 3+ Person,work,0,worktourmode3
9,Auto 3+ Person,work,0,worktourmode3
1,Walk,work,0,worktourmode4
2,Walk,work,0,worktourmode4
3,Walk,work,0,worktourmode4
4,Walk,work,33424,worktourmode4
5,Walk,work,0,worktourmode4
6,Walk,work,0,worktourmode4
7,Walk,work,0,worktourmode4
8,Walk,work,0,worktourmode4
9,Walk,work,0,worktourmode4
1,Bike/Moped,work,10929.33892,worktourmode5
2,Bike/Moped,work,7763.132482,worktourmode5
3,Bike/Moped,work,1396.734787,worktourmode5
4,Bike/Moped,work,1221.956429,worktourmode5
5,Bike/Moped,work,36979.83738,worktourmode5
6,Bike/Moped,work,0,worktourmode5
7,Bike/Moped,work,0,worktourmode5
8,Bike/Moped,work,0,worktourmode5
9,Bike/Moped,work,0,worktourmode5
1,Walk-Transit,work,0,worktourmode6
2,Walk-Transit,work,5731.804849,worktourmode6
3,Walk-Transit,work,1956.257491,worktourmode6
4,Walk-Transit,work,9707.134085,worktourmode6
5,Walk-Transit,work,292.2054365,worktourmode6
