tripmode,tourmode,purpose,value,grp_var
1,Auto SOV,work,2394844.869,worktourmode1
2,Auto SOV,work,0,worktourmode1
3,Auto SOV,work,0,worktourmode1
4,Auto SOV,work,78505.1315,worktourmode1
5,Auto SOV,work,0,worktourmode1
6,Auto SOV,work,0,worktourmode1
7,Auto SOV,work,0,worktourmode1
8,Auto SOV,work,0,worktourmode1
9,Auto SOV,work,0,worktourmode1
1,Auto 2 Person,work,288150.1051,worktourmode2
2,Auto 2 Person,work,311144.6789,worktourmode2
3,Auto 2 Person,work,952.2222364,worktourmode2
4,Auto 2 Person,work,21472.99375,worktourmode2
5,Auto 2 Person,work,0,worktourmode2
6,Auto 2 Person,work,0,worktourmode2
7,Auto 2 Person,work,0,worktourmode2
8,Auto 2 Person,work,0,worktourmode2
9,Auto 2 Person,work,0,worktourmode2
1,Auto 3+ Person,work,123189.7667,worktourmode3
2,Auto 3+ Person,work,42145.98019,worktourmode3
3,Auto 3+ Person,work,110309.6041,worktourmode3
4,Auto 3+ Person,work,7744.648994,worktourmode3
5,Auto 3+ Person,work,0,worktourmode3
6,Auto 3+ Person,work,0,worktourmode3
7,Auto 3+ Person,work,0,worktourmode3
8,Auto 3+ Person,work,0,worktourmode3
9,Auto 3+ Person,work,0,worktourmode3
1,Walk,work,0,worktourmode4
2,Walk,work,0,worktourmode4
3,Walk,work,0,worktourmode4
4,Walk,work,32770,worktourmode4
5,Walk,work,0,worktourmode4
6,Walk,work,0,worktourmode4
7,Walk,work,0,worktourmode4
8,Walk,work,0,worktourmode4
9,Walk,work,0,worktourmode4
1,Bike/Moped,work,10529.78459,worktourmode5
2,Bike/Moped,work,7479.328201,worktourmode5
3,Bike/Moped,work,1345.673014,worktourmode5
4,Bike/Moped,work,1177.284196,worktourmode5
5,Bike/Moped,work,35627.93,worktourmode5
6,Bike/Moped,work,0,worktourmode5
7,Bike/Moped,work,0,worktourmode5
8,Bike/Moped,work,0,worktourmode5
9,Bike/Moped,work,0,worktourmode5
1,Walk-Transit,work,0,worktourmode6
2,Walk-Transit,work,3642.58077,worktourmode6
3,Walk-Transit,work,1243.208048,worktourmode6
4,Walk-Transit,work,6168.91553,worktourmode6
5,Walk-Transit,work,185.6975127,worktourmode6
