tripmode,tourmode,purpose,value,grp_var
1,Auto SOV,work,2071382.802,worktourmode1
2,Auto SOV,work,0,worktourmode1
3,Auto SOV,work,0,worktourmode1
4,Auto SOV,work,67073.04806,worktourmode1
5,Auto SOV,work,0,worktourmode1
6,Auto SOV,work,0,worktourmode1
7,Auto SOV,work,0,worktourmode1
8,Auto SOV,work,0,worktourmode1
9,Auto SOV,work,0,worktourmode1
1,Auto 2 Person,work,342189.2861,worktourmode2
2,Auto 2 Person,work,374102.2434,worktourmode2
3,Auto 2 Person,work,0,worktourmode2
4,Auto 2 Person,work,19703.0859,worktourmode2
5,Auto 2 Person,work,0,worktourmode2
6,Auto 2 Person,work,0,worktourmode2
7,Auto 2 Person,work,0,worktourmode2
8,Auto 2 Person,work,0,worktourmode2
9,Auto 2 Person,work,0,worktourmode2
1,Auto 3+ Person,work,188101.7886,worktourmode3
2,Auto 3+ Person,work,64353.83769,worktourmode3
3,Auto 3+ Person,work,170201.5442,worktourmode3
4,Auto 3+ Person,work,11825.51413,worktourmode3
5,Auto 3+ Person,work,0,worktourmode3
6,Auto 3+ Person,work,0,worktourmode3
7,Auto 3+ Person,work,0,worktourmode3
8,Auto 3+ Person,work,0,worktourmode3
9,Auto 3+ Person,work,0,worktourmode3
1,Walk,work,0,worktourmode4
2,Walk,work,0,worktourmode4
3,Walk,work,0,worktourmode4
4,Walk,work,45554.54863,worktourmode4
5,Walk,work,0,worktourmode4
6,Walk,work,0,worktourmode4
7,Walk,work,0,worktourmode4
8,Walk,work,0,worktourmode4
9,Walk,work,0,worktourmode4
1,Bike/Moped,work,13007.70955,worktourmode5
2,Bike/Moped,work,9239.403523,worktourmode5
3,Bike/Moped,work,1662.34395,worktourmode5
4,Bike/Moped,work,1454.328979,worktourmode5
5,Bike/Moped,work,45150.0114,worktourmode5
6,Bike/Moped,work,0,worktourmode5
7,Bike/Moped,work,0,worktourmode5
8,Bike/Moped,work,0,worktourmode5
9,Bike/Moped,work,0,worktourmode5
1,Walk-Transit,work,6102.742429,worktourmode6
2,Walk-Transit,work,10405.11391,worktourmode6
3,Walk-Transit,work,3551.251756,worktourmode6
4,Walk-Transit,work,17621.64599,worktourmode6
5,Walk-Transit,work,530.4491226,worktourmode6
6,Walk-Transit,work,90035.82486,worktourmode6
7,Walk-Transit,work,0,worktourmode6
8,Walk-Transit,work,0,worktourmode6
9,Walk-Transit,work,0,worktourmode6
1,PNR-Transit,work,1838.185055,worktourmode7
2,PNR-Transit,work,1701.727931,worktourmode7
