tripmode,tourmode,purpose,value,grp_var
1,Auto SOV,work,2511800,worktourmode1
10,Auto SOV,work,0,worktourmode1
11,Auto SOV,work,0,worktourmode1
12,Auto SOV,work,0,worktourmode1
13,Auto SOV,work,0,worktourmode1
2,Auto SOV,work,0,worktourmode1
3,Auto SOV,work,0,worktourmode1
4,Auto SOV,work,0,worktourmode1
5,Auto SOV,work,0,worktourmode1
6,Auto SOV,work,0,worktourmode1
7,Auto SOV,work,0,worktourmode1
8,Auto SOV,work,0,worktourmode1
9,Auto SOV,work,0,worktourmode1
1,Auto 2 Person,work,293136.9205,worktourmode2
10,Auto 2 Person,work,0,worktourmode2
11,Auto 2 Person,work,0,worktourmode2
12,Auto 2 Person,work,0,worktourmode2
13,Auto 2 Person,work,0,worktourmode2
2,Auto 2 Person,work,315776.8508,worktourmode2
3,Auto 2 Person,work,967.6338028,worktourmode2
4,Auto 2 Person,work,21158.59486,worktourmode2
5,Auto 2 Person,work,0,worktourmode2
6,Auto 2 Person,work,0,worktourmode2
7,Auto 2 Person,work,0,worktourmode2
8,Auto 2 Person,work,0,worktourmode2
9,Auto 2 Person,work,0,worktourmode2
1,Auto 3+ Person,work,117152.7507,worktourmode3
10,Auto 3+ Person,work,0,worktourmode3
11,Auto 3+ Person,work,0,worktourmode3
12,Auto 3+ Person,work,0,worktourmode3
13,Auto 3+ Person,work,0,worktourmode3
2,Auto 3+ Person,work,39985.28429,worktourmode3
3,Auto 3+ Person,work,104788.146,worktourmode3
4,Auto 3+ Person,work,7133.818944,worktourmode3
5,Auto 3+ Person,work,0,worktourmode3
6,Auto 3+ Person,work,0,worktourmode3
7,Auto 3+ Person,work,0,worktourmode3
8,Auto 3+ Person,work,0,worktourmode3
9,Auto 3+ Person,work,0,worktourmode3
1,Walk,work,0,worktourmode4
10,Walk,work,0,worktourmode4
11,Walk,work,0,worktourmode4
12,Walk,work,0,worktourmode4
13,Walk,work,0,worktourmode4
2,Walk,work,0,worktourmode4
3,Walk,work,0,worktourmode4
4,Walk,work,40700,worktourmode4
5,Walk,work,0,worktourmode4
6,Walk,work,0,worktourmode4
7,Walk,work,0,worktourmode4
8,Walk,work,0,worktourmode4
9,Walk,work,0,worktourmode4
1,Bike/Moped,work,3265.758521,worktourmode5
10,Bike/Moped,work,0,worktourmode5
11,Bike/Moped,work,0,worktourmode5
12,Bike/Moped,work,0,worktourmode5
13,Bike/Moped,work,0,worktourmode5
2,Bike/Moped,work,2319.675164,worktourmode5
3,Bike/Moped,work,417.3535625,worktourmode5
4,Bike/Moped,work,365.1286369,worktourmode5
5,Bike/Moped,work,44012.08412,worktourmode5
6,Bike/Moped,work,0,worktourmode5
7,Bike/Moped,work,0,worktourmode5
8,Bike/Moped,work,0,worktourmode5
9,Bike/Moped,work,0,worktourmode5
1,Walk-Transit,work,0,worktourmode6
10,Walk-Transit,work,0,worktourmode6
11,Walk-Transit,work,1442.96418,worktourmode6
12,Walk-Transit,work,757.36935,worktourmode6
13,Walk-Transit,work,0,worktourmode6
2,Walk-Transit,work,4360.199939,worktourmode6
3,Walk-Transit,work,1488.130531,worktourmode6
4,Walk-Transit,work,7384.243979,worktourmode6
5,Walk-Transit,work,527.4938832,worktourmode6
6,Walk-Transit,work,68599.59814,worktourmode6
7,Walk-Transit,work,0,worktourmode6
8,Walk-Transit,work,0,worktourmode6
9,Walk-Transit,work,0,worktourmode6
1,PNR-Transit,work,1752.620159,worktourmode7
10,PNR-Transit,work,0,worktourmode7
11,PNR-Transit,work,0,worktourmode7
