,,,business_type,
route_purpose,vehicle_type,customer_type,wholesale,gigwork
goods,car,residential,0,0.36
goods,light_truck,residential,0.15,0.04
goods,med_truck,residential,0.25,0
goods,heavy_truck,residential,0.1,0
goods,sidewalk_drone,residential,0,0
services,car,residential,0,0.2
services,light_truck,residential,0.1,0
services,med_truck,residential,0.05,0
services,heavy_truck,residential,0,0
services,sidewalk_drone,residential,0,0
other,car,residential,0,0.04
other,light_truck,residential,0.1,0.01
other,med_truck,residential,0.1,0
other,heavy_truck,residential,0,0
other,sidewalk_drone,residential,0,0
goods,car,nonresidential,0,0.315
goods,light_truck,nonresidential,0.075,0.035
goods,med_truck,nonresidential,0.125,0
goods,heavy_truck,nonresidential,0.05,0
goods,sidewalk_drone,nonresidential,0,0
services,car,nonresidential,0,0
services,light_truck,nonresidential,0,0
services,med_truck,nonresidential,0,0
services,heavy_truck,nonresidential,0,0
services,sidewalk_drone,nonresidential,0,0
other,car,nonresidential,0,0
other,light_truck,nonresidential,0,0
other,med_truck,nonresidential,0,0
other,heavy_truck,nonresidential,0,0
other,sidewalk_drone,nonresidential,0,0
goods,car,mixed,0,0
goods,light_truck,mixed,0,0
goods,med_truck,mixed,0,0
goods,heavy_truck,mixed,0,0
goods,sidewalk_drone,mixed,0,0
services,car,mixed,0,0
services,light_truck,mixed,0,0
services,med_truck,mixed,0,0
services,heavy_truck,mixed,0,0
services,sidewalk_drone,mixed,0,0
other,car,mixed,0,0
other,light_truck,mixed,0,0
other,med_truck,mixed,0,0
other,heavy_truck,mixed,0,0
other,sidewalk_drone,mixed,0,0
