Label,Description,Expression,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr,atwork
local_dist_od,,_od_DIST@od_skims['DIST'],1,1,1,1,1,1,1,1,1,1
local_dist_dp,,_dp_DIST@dp_skims['DIST'],1,1,1,1,1,1,1,1,1,1
loca_dist_op,,_op_DIST@op_skims['DIST'],1,1,1,1,1,1,1,1,1,1
local_dist_nd,,_nd_DIST@nd_skims['DIST'],1,1,1,1,1,1,1,1,1,1
distance_deviation,distance deviation,_dist_dev@(_od_DIST +_dp_DIST - _op_DIST),1,1,1,1,1,1,1,1,1,1
dist_deviation_logged,logged deviation distance,"_dist_dev_logged@np.where((_dist_dev > 0), np.log(_dist_dev),0)",1,1,1,1,1,1,1,1,1,1
#,,,,,,,,,,,,
util_sizeterm,size term,"@np.log1p(size_terms.get(df.dest_taz, df.purpose))",coef_one,coef_one,coef_one,coef_one,coef_one,coef_one,coef_one,coef_one,coef_one,coef_one
util_Sampleofalternativescorrectionfactor,Sample of alternatives correction factor,"@np.minimum(np.log(df.pick_count/df.prob), 60)",coef_one,coef_one,coef_one,coef_one,coef_one,coef_one,coef_one,coef_one,coef_one,coef_one
util_Modechoicelogsum,Mode choice logsum,od_logsum + dp_logsum,coef_mode_choice_logsum_mandatory,coef_mode_choice_logsum_mandatory,coef_mode_choice_logsum_mandatory,coef_mode_choice_logsum_maint,coef_mode_choice_logsum_maint,coef_mode_choice_logsum_maint,coef_mode_choice_logsum_discr,coef_mode_choice_logsum_discr,coef_mode_choice_logsum_discr,coef_mode_choice_logsum_discr
#,,,,,,,,,,,,
util_DistanceDeviationLinearRelative,Distance Deviation Linear - Relative,"@np.minimum((_dist_dev)/_op_DIST, 100)",,,,coef_DistanceDeviationLinearRelative_maint,coef_DistanceDeviationLinearRelative_maint,coef_DistanceDeviationLinearRelative_maint,coef_DistanceDeviationLinearRelative_discr,coef_DistanceDeviationLinearRelative_discr,coef_DistanceDeviationLinearRelative_discr,coef_DistanceDeviationLinearRelative_discr
util_DistanceDeviationLinearAbsolute,Distance Deviation Linear - Absolute,@(_dist_dev),coef_DistanceDeviationLinearAbsolute_mandatory,coef_DistanceDeviationLinearAbsolute_mandatory,coef_DistanceDeviationLinearAbsolute_mandatory,coef_DistanceDeviationLinearAbsolute_maint,coef_DistanceDeviationLinearAbsolute_maint,coef_DistanceDeviationLinearAbsolute_maint,coef_DistanceDeviationLinearAbsolute_discr,coef_DistanceDeviationLinearAbsolute_discr,coef_DistanceDeviationLinearAbsolute_discr,coef_DistanceDeviationLinearAbsolute_discr
util_LogofDistanceRelativeDeviation,Log of Distance Relative Deviation,"@np.where((_dist_dev > 0), np.log(np.minimum((_dist_dev)/_op_DIST, 100)), 0)",,,,coef_LogofDistanceRelativeDeviation_maint,coef_LogofDistanceRelativeDeviation_maint,coef_LogofDistanceRelativeDeviation_maint,coef_LogofDistanceRelativeDeviation_discr,coef_LogofDistanceRelativeDeviation_discr,coef_LogofDistanceRelativeDeviation_discr,coef_LogofDistanceRelativeDeviation_discr
