model_selector,segment,hh,pop,emp_accm,emp_ag_min,emp_bus_svcs,emp_con,emp_educ,emp_ent,emp_fin_res_mgm,emp_food,emp_gov,emp_hlth,emp_mil,emp_mnf,emp_oth,emp_ret,emp_trn_wrh,emp_utl,emp_whl,total_emp_revised,enrollgradekto8,enrollgrade9to12,othercollegeenroll,collegeenroll,parkactive,beachactive,external_work,external_nonwork
workplace,constr_maint,0,0,0.007723607,0.114467809,0.149701138,1,0.014673052,0.021406453,0.053921216,0.001836382,0.137710644,0.007849633,0,0.078208267,0.160935475,0.057720006,0.042038744,0.021622497,0.019444044,0,0,0,0,0,0,0,0,0
workplace,health,0,0,0.001161773,0,0.064585993,0.000229486,0.019735804,0.006167439,0.028269818,8.61E-05,0.181566529,1,0,0.003012005,0.078627673,0.056869523,0,0.001247831,0.000272515,0,0,0,0,0,0,0,0,0
workplace,military,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
workplace,mngt_busi_scic_arts,0,0,0.014582422,0.023150473,1,0.105478261,0.046020203,0.044384337,0.520588696,0.071675764,0.357056089,0.12997306,0,0.345664415,0.101893393,0.063194096,0.019155288,0.03001787,0.033921273,0,0,0,0,0,0,0,0,0
workplace,prod_trans_move,0,0,0.039515775,0.044941354,0.289719626,0.059838173,0.010851157,0.045537226,0.055761149,0.116759706,0.169102427,0.051119614,0,1,0.300100358,0.577996613,0.692090573,0.057611491,0.160289782,0,0,0,0,0,0,0,0,0
workplace,sales_office,0,0,0.031177613,0.011768937,0.494698223,0.051276887,0.048183584,0.052183296,1,0.216603122,0.337702324,0.170534494,0,0.201999856,0.142953744,0.914135674,0.206618229,0.01090569,0.174045033,0,0,0,0,0,0,0,0,0
workplace,services,0,0,0.079950222,0.03214445,0.477412008,0.013782902,0.264904083,0.154746531,0.064277161,1,0.565075489,0.145096152,0,0.02819977,0.403566649,0.04669046,0.007689779,0.001232713,0.002031041,0,0,0,0,0,0,0,0,0
school,preschool,0,0.1888,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
school,gradeschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
school,highschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
school,university,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859,1,0,0,0,0
non_mandatory,escort,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
non_mandatory,shopping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,othmaint,0,0,0,0,0.42255,0,0,0,0,0,0.24001,0.42255,0,0,0,1.60296,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,eatout,0.5512,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,social,0.3006,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,othdiscr,0.04333,0,0.03453,0,0.004465,0,0,0.20337,0.004465,0.15911,0.005953,0,0,0,1,0.042025,0,0,0,0,0.03167,0.05136,0,0.02258,3.71685,6,0,0
atwork,atwork,0,0,0,0,0.0145,0,0,0,0,0.367,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0
trip,work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
trip,escort,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
trip,shopping,0.000001,0,0,0,0,0,0,0,0,0.214689,0,0,0,0,0,0.375,0,0,0,0.0001,0,0,0,0,0,0,0,0
trip,othmaint,0.000001,0,0,0,0.025,0,0,0,0,0,0.661904,1.464014,0,0,0,1.2379255,0,0,0,0.0001,0,0,0,0,0,0,0,0
trip,eatout,0.010162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0689145,0,0,0,0,0,0,0,0,0,0,0,0
trip,social,0.495249,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,othdiscr,0.027342,0,0.092343,0,0,0,0,0.473744,0,0.122872,0,0,0,0,1,0.0194215,0,0,0,0,0,0,0,0,3.71685,6,0.05,0
trip,univ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
# not needed as school is not chosen as an intermediate trip destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#trip,gradeschool,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
#trip,highschool,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_workplace,external_workplace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
external_nonwork,external_nonwork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,escort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,shopping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,othmaint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,eatout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,othdiscr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
