Label,Description,Expression,No_Telecommute,1_day_week,2_3_days_week,4_days_week
util_HasChildren0to5,Has children 0 to 5 years old,@df.num_young_children>0,,coef_HasChildren0to5_1day,coef_HasChildren0to5_234day,coef_HasChildren0to5_234day
util_HasChildren6to12,Has children 6 to 12 years old,@df.num_children_6_to_12>0,,coef_HasChildren6to12_1day,coef_HasChildren6to12_23day,coef_HasChildren6to12_4day
util_OneAdultInHH,One adult in hh,@df.num_adults==1,,coef_OneAdultInHH_1day,coef_OneAdultInHH_23day,coef_OneAdultInHH_4day
util_2plusAdultsInHH,2 or more adults in hh,@df.num_adults==2,,coef_2plusAdultsInHH_1day,coef_2plusAdultsInHH_23day,coef_2plusAdultsInHH_4day
util_Female,female,@df.female,,coef_Female_1234day,coef_Female_1234day,coef_Female_1234day
util_PartTimeWorker,Part-time worker,@df.pemploy==2,,coef_PartTimeWorker_1234day,coef_PartTimeWorker_1234day,coef_PartTimeWorker_1234day
util_Income60to100k,Income 60-100k,"@df.income.between(60000, 100000)",,coef_Income60to100k_1day,coef_Income60to100k_23day,coef_Income60to100k_4day
util_Income100to150k,Income 100-150k,"@df.income.between(100000, 150000)",,coef_Income100to150k_1day,coef_Income100to150k_234day,coef_Income100to150k_234day
util_Income150kplus,Income 150k+,@df.income > 150000,,coef_Income150kplus_1day,coef_Income150kplus_23day,coef_Income150kplus_4day
util_0Autos,0 Autos,@df.auto_ownership==0,,coef_0Autos_1day,coef_0Autos_234day,coef_0Autos_234day
util_1Auto,1 Auto,@df.auto_ownership==1,,coef_1Auto_1day,coef_1Auto_234day,coef_1Auto_234day
util_3plusAutos,3+ Autos,@df.auto_ownership>=3,,coef_3plusAutos_1day,coef_3plusAutos_23day,coef_3plusAutos_4day
util_DistanceToWork,Distance to work,@df.distance_to_work,,coef_DistanceToWork_1day,coef_DistanceToWork_234day,coef_DistanceToWork_234day
util_calib_2020,scenario year is 2020,@scenarioYear==2020,,coef_calib_2020_1day,coef_calib_2020_23day,coef_calib_2020_4day
util_calib_2025,scenario year is 2025,@scenarioYear==2025,,coef_calib_2025_1day,coef_calib_2025_23day,coef_calib_2025_4day
util_calib_2035,scenario year is 2035,@scenarioYear==2035,,coef_calib_2035_1day,coef_calib_2035_23day,coef_calib_2035_4day
util_calib_2050,scenario year is 2050,@scenarioYear==2050,,coef_calib_2050_1day,coef_calib_2050_23day,coef_calib_2050_4day
util_2016,Model year is 2016,@PRE_COVID,,coef_2016_1day,coef_2016_23day,coef_2016_4day
util_accomodation,Accomodation industry,@df.naics_code==721,,coef_accomodation_1day,coef_accomodation_23day,coef_accomodation_4day
util_agriculture,Agriculture industry,@df.naics_code==11,,coef_agriculture_1234day,coef_agriculture_1234day,coef_agriculture_1234day
util_business_srv,Business services industry,@df.naics_code==54,,coef_business_srv_1day,coef_business_srv_23day,coef_business_srv_4day
util_construction,Construction industry,@df.naics_code==23,,coef_construction_1day,coef_construction_234day,coef_construction_234day
#util_education,Education industry,@df.naics_code==61,,coef_education_1day,coef_education_234day,coef_education_234day
util_entertainment,Entertainment industry,@df.naics_code==71,,coef_entertainment_1day,coef_entertainment_23day,coef_entertainment_4day
util_food_srv,Food services industry,@df.naics_code==722,,coef_food_srv_1day,coef_food_srv_23day,coef_food_srv_4day
util_government,Government industry,@df.naics_code==92,,coef_government_1day,coef_government_234day,coef_government_234day
util_healthcare,Healthcare industry,@df.naics_code==62,,coef_healthcare_1day,coef_healthcare_23day,coef_healthcare_4day
util_manufacturing,Manufacturing industry,"@df.naics_code.isin([31,32,33])",,coef_manufacturing_1day,coef_manufacturing_234day,coef_manufacturing_234day
util_mgmt_srv,Management services industry,@df.naics_code==55,,coef_mgmt_srv_1day,coef_mgmt_srv_23day,coef_mgmt_srv_4day
util_military,Miliary industry,@df.naics_code==9000,,coef_military_1day,coef_military_23day,coef_military_4day
util_retail,Retail industry,"@df.naics_code.isin([44,45])",,coef_retail_1day,coef_retail_23day,coef_retail_4day
