coefficient_name,value,constrain,,,,
coef_zero,0,T,,,,
coef_unavailable,-999,T,,,,
#,,,,,,
coef_ft_worker_work2_asc,-2.548,F,,,,
coef_ft_worker_school1_asc,-2.29548389,F,,,,
coef_ft_worker_work_and_school_asc,-2.124547196,F,,,,
coef_pt_worker_work2_asc,-3.255,F,,,,
coef_pt_worker_school1_asc,-1.523338502,F,,,,
coef_pt_worker_work_and_school_asc,-1.916270321,F,,,,
coef_univ_work1_asc,-0.935,F,,,,
coef_driving_age_child_work1_asc,-2.81,F,,,,
coef_univ_school2_asc,-2.329,F,,,,
coef_univ_work_and_school_asc,-0.898,F,,,,
coef_driving_age_child_school2_asc,-2.230,F,,,,
coef_pre_driving_age_child_school2_asc,-3.838,F,,,,
coef_driving_age_child_work_and_school_asc,-3.449,F,,,,
coef_non_worker_school1_asc,14.600,F,,,,
coef_ret_worker_school1_asc,14.600,F,,,,
#,,,,,,
coef_female_ftworker_work2,-0.171976,F,,,,
coef_female_ftworker_school1,-0.372102879,F,,,,
coef_female_ftworker_work_and_school,0.656500245,F,,,,
coef_female_ptworker_work2,0.72635447,F,,,,
coef_female_ptworker_school1,0.634251329,F,,,,
coef_female_univ_work1,-0.186104106,F,,,,
coef_female_univ_school2,-1.207464296,F,,,,
coef_female_univ_work_and_school,-0.627268064,F,,,,
coef_female_driving_age_child_work1,-0.84458299,F,,,,
coef_female_driving_age_child_school2,-1.565680968,F,,,,
coef_female_driving_age_child_work_and_school,2.22484406,F,,,,
coef_female_child_school2,-1.124163745,F,,,,
coef_youngadult_ftworker_school1,0.336552714,F,,,,
coef_olderadult_univ_work1,1.373765885,F,,,,
#,,,,,,
coef_distband1_ftworker_work2,0.64195998,F,,,,
coef_distband1_ptworker_work2,0.64195998,F,,,,
coef_distband2_ftworker_work2,1.217340344,F,,,,
coef_distband2_ptworker_work2,1.217340344,F,,,,
coef_distband2_univ_school2,0.491551442,F,,,,
coef_distband2_driving_age_child_school2,0.491551442,F,,,,
coef_distband2_child_school2,0.491551442,F,,,,
coef_distband1_ftworker_work_and_school,0.194304616,F,,,,
coef_distband1_ptworker_work_and_school,0.194304616,F,,,,
coef_distband1_univ_work_and_school,0.194304616,F,,,,
coef_distband1_driving_age_child_work_and_school,0.194304616,F,,,,
coef_distband2_ftworker_work_and_school,0.183705706,F,,,,
coef_distband2_ptworker_work_and_school,0.183705706,F,,,,
coef_distband2_univ_work_and_school,0.183705706,F,,,,
coef_distband2_driving_age_child_work_and_school,0.183705706,F,,,,
#,,,,,,
coef_ftworker_timetowork_work2,-0.022406282,F,,,,
coef_ptworker_timetowork_work2,-0.022406282,F,,,,
coef_ftworker_timetowork_work_and_school,-0.007707408,F,,,,
coef_ptworker_timetowork_work_and_school,-0.007707408,F,,,,
coef_univ_timetowork_work_and_school,-0.007707408,F,,,,
#,,,,,,
coef_ftworker_zerocar_work2,-0.661753779,F,,,,
coef_ptworker_zerocar_work2,-0.661753779,F,,,,
coef_univ_zerocar_school2,-0.661753779,F,,,,
coef_driving_age_child_zerocar_school2,-0.661753779,F,,,,
coef_child_zerocar_school2,-0.661753779,F,,,,
coef_univ_autodef_school2,-0.955356561,F,,,,
coef_driving_age_child_autodef_school2,-0.955356561,F,,,,
coef_child_autodef_school2,-0.955356561,F,,,,
coef_ftworker_zerocar_work_and_school,-0.661753779,F,,,,
coef_ptworker_zerocar_work_and_school,-0.661753779,F,,,,
coef_univ_zerocar_work_and_school,-0.661753779,F,,,,
coef_driving_age_child_zerocar_work_and_school,-0.661753779,F,,,,
#,,,,,,
coef_univ_nonfamily_work1,-1.094011735,F,,,,
coef_driving_age_child_nonfamily_work2,-1.094011735,F,,,,
coef_univ_midhighincome_work1,0.688596236,F,,,,
coef_ftworker_numprekchildren_work2,-0.039040872,F,,,,
coef_ptworker_numprekchildren_work2,-0.039040872,F,,,,
coef_ftworker_scng2school_work2,-0.436718886,F,,,,
coef_univ_numprekchildren_school2,-1.533952899,F,,,,
coef_ftworker_numprekchildren_work_and_school,-0.142979462,F,,,,
coef_ptworker_numprekchildren_work_and_school,-0.142979462,F,,,,
coef_univ_numprekchildren_work_and_school,-0.142979462,F,,,,
coef_univ_nonfamily_work_and_school,-1.094011735,F,,,,
coef_driving_age_child_nonfamily_work_and_school,-1.094011735,F,,,,
#,,,,,,
