Establishment_ID,Industry_No,Industry_Name,LUZ,MGRA,Employees,Size_Class
1,9,EPO,1,1181,8,2
2,9,EPO,1,1181,15,3
3,9,EPO,1,1181,15,3
4,9,EPO,1,1181,17,3
5,9,EPO,1,6716,26,4
6,9,EPO,1,6716,27,4
7,9,EPO,1,6716,26,4
8,9,EPO,1,6716,27,4
9,9,EPO,1,6716,26,4
10,9,EPO,1,6716,27,4
11,9,EPO,1,6716,26,4
12,9,EPO,1,6716,26,4
13,9,EPO,1,6716,28,4
14,9,EPO,1,6716,26,4
15,9,EPO,1,6716,61,5
16,9,EPO,1,6716,62,5
17,9,EPO,1,6716,61,5
18,9,EPO,1,6716,61,5
19,9,EPO,1,6716,61,5
20,9,EPO,1,6716,61,5
21,9,EPO,1,6716,61,5
22,9,EPO,1,6716,61,5
23,9,EPO,1,6716,61,5
24,9,EPO,1,6716,61,5
25,9,EPO,1,6716,133,6
26,9,EPO,1,6716,134,6
27,9,EPO,1,11227,14,3
28,9,EPO,2,1666,25,4
29,9,EPO,2,1666,24,4
30,9,EPO,2,2037,50,5
31,9,EPO,2,3169,21,4
32,9,EPO,2,3169,22,4
33,9,EPO,2,7240,29,4
34,9,EPO,3,2794,29,4
35,9,EPO,3,3419,68,5
36,9,EPO,3,3640,69,5
37,9,EPO,3,5995,41,4
38,9,EPO,4,190,10,3
39,9,EPO,4,4191,20,4
40,9,EPO,4,5779,20,4
41,9,EPO,4,6858,29,4
42,9,EPO,5,1522,1,1
43,9,EPO,5,1522,2,1
44,9,EPO,5,1522,1,1
45,9,EPO,5,1522,1,1
46,9,EPO,5,1522,1,1
47,9,EPO,5,1522,1,1
48,9,EPO,5,1522,5,2
49,9,EPO,5,1522,5,2
50,9,EPO,5,1522,5,2
51,9,EPO,5,1522,6,2
52,9,EPO,5,1522,5,2
53,9,EPO,5,1522,5,2
54,9,EPO,5,1522,11,3
55,9,EPO,5,1522,10,3
56,9,EPO,5,1522,11,3
57,9,EPO,5,1522,10,3
58,9,EPO,5,1522,10,3
59,9,EPO,5,1522,11,3
60,9,EPO,5,3422,10,3
61,9,EPO,5,3422,10,3
62,9,EPO,5,3422,10,3
63,9,EPO,5,3422,10,3
64,9,EPO,5,3422,11,3
65,9,EPO,5,3422,10,3
66,9,EPO,5,3422,11,3
67,9,EPO,5,3422,11,3
68,9,EPO,5,3422,10,3
69,9,EPO,5,3422,10,3
70,9,EPO,5,3422,11,3
71,9,EPO,5,3422,21,4
72,9,EPO,5,3422,21,4
73,9,EPO,5,3422,23,4
74,9,EPO,5,3422,21,4
75,9,EPO,5,3422,21,4
76,9,EPO,5,3422,21,4
77,9,EPO,5,3422,21,4
78,9,EPO,5,3422,23,4
79,9,EPO,5,3422,21,4
80,9,EPO,5,3422,21,4
81,9,EPO,5,3422,21,4
82,9,EPO,5,3422,21,4
83,9,EPO,5,3422,21,4
84,9,EPO,5,3422,21,4
85,9,EPO,5,3422,21,4
86,9,EPO,5,3422,21,4
87,9,EPO,5,3422,21,4
88,9,EPO,5,3422,23,4
89,9,EPO,5,3422,21,4
90,9,EPO,5,3422,21,4
91,9,EPO,5,3422,22,4
92,9,EPO,5,3422,21,4
93,9,EPO,5,3422,21,4
94,9,EPO,5,3422,21,4
95,9,EPO,5,3422,21,4
96,9,EPO,5,3422,21,4
97,9,EPO,5,3422,21,4
98,9,EPO,5,3422,52,5
99,9,EPO,5,5298,14,3
100,9,EPO,5,5312,19,3
101,9,EPO,5,6150,125,6
102,9,EPO,5,6449,1,1
103,9,EPO,5,6739,53,5
104,9,EPO,5,6739,109,6
105,9,EPO,5,8687,50,5
106,9,EPO,5,8687,100,6
107,9,EPO,5,8687,100,6
108,9,EPO,5,8687,100,6
109,9,EPO,5,8687,292,7
110,9,EPO,5,8687,292,7
111,9,EPO,5,9087,29,4
112,9,EPO,5,10690,18,3
113,9,EPO,5,11130,137,6
114,9,EPO,5,12972,11,3
115,9,EPO,5,12973,302,7
116,9,EPO,5,12974,29,4
117,9,EPO,5,12978,20,4
118,9,EPO,6,2207,29,4
119,9,EPO,7,237,29,4
120,9,EPO,7,434,20,4
121,9,EPO,8,1798,20,4
122,9,EPO,8,1863,346,7
123,9,EPO,8,2308,63,5
124,9,EPO,8,11807,50,5
125,9,EPO,9,5016,29,4
126,9,EPO,9,8971,20,4
127,9,EPO,9,10741,20,4
128,9,EPO,9,10741,21,4
129,9,EPO,10,5278,181,6
130,9,EPO,10,7540,76,5
131,9,EPO,10,8572,25,4
132,9,EPO,10,8572,24,4
133,9,EPO,10,10369,29,4
134,9,EPO,11,1047,50,5
135,9,EPO,11,7259,50,5
136,9,EPO,11,10359,20,4
137,9,EPO,12,8599,100,6
138,9,EPO,12,10994,29,4
139,9,EPO,12,11080,50,5
140,9,EPO,12,11684,20,4
141,9,EPO,13,7850,403,7
142,9,EPO,15,123,346,7
143,9,EPO,15,11600,20,4
144,9,EPO,15,11601,29,4
145,9,EPO,16,8940,11,3
146,9,EPO,16,8940,11,3
147,9,EPO,16,8940,10,3
148,9,EPO,16,9058,12,3
149,9,EPO,16,9058,26,4
150,9,EPO,16,10415,28,4
151,9,EPO,17,10437,4,1
152,9,EPO,18,1173,32,4
153,9,EPO,18,1773,20,4
154,9,EPO,18,8020,77,5
155,9,EPO,19,9868,18,3
156,9,EPO,19,9870,14,3
157,9,EPO,19,9887,220,6
158,9,EPO,19,9888,24,4
