Establishment_ID,Industry_No,Industry_Name,LUZ,MGRA,Employees,Size_Class
1,9,EPO,1,1181,8,2
2,9,EPO,1,1181,16,3
3,9,EPO,1,1181,16,3
4,9,EPO,1,1181,17,3
5,9,EPO,1,6716,28,4
6,9,EPO,1,6716,28,4
7,9,EPO,1,6716,28,4
8,9,EPO,1,6716,28,4
9,9,EPO,1,6716,28,4
10,9,EPO,1,6716,28,4
11,9,EPO,1,6716,28,4
12,9,EPO,1,6716,28,4
13,9,EPO,1,6716,30,4
14,9,EPO,1,6716,28,4
15,9,EPO,1,6716,63,5
16,9,EPO,1,6716,66,5
17,9,EPO,1,6716,63,5
18,9,EPO,1,6716,64,5
19,9,EPO,1,6716,64,5
20,9,EPO,1,6716,64,5
21,9,EPO,1,6716,64,5
22,9,EPO,1,6716,63,5
23,9,EPO,1,6716,64,5
24,9,EPO,1,6716,63,5
25,9,EPO,1,6716,142,6
26,9,EPO,1,6716,142,6
27,9,EPO,1,11227,14,3
28,9,EPO,2,1666,51,5
29,9,EPO,2,2037,26,4
30,9,EPO,2,2037,27,4
31,9,EPO,2,3169,43,4
32,9,EPO,2,7240,30,4
33,9,EPO,3,2794,30,4
34,9,EPO,3,3419,20,4
35,9,EPO,3,3419,51,5
36,9,EPO,3,3640,69,5
37,9,EPO,3,5995,43,4
38,9,EPO,4,190,10,3
39,9,EPO,4,4191,21,4
40,9,EPO,4,5779,21,4
41,9,EPO,4,6858,30,4
42,9,EPO,5,1522,1,1
43,9,EPO,5,1522,1,1
44,9,EPO,5,1522,1,1
45,9,EPO,5,1522,1,1
46,9,EPO,5,1522,1,1
47,9,EPO,5,1522,1,1
48,9,EPO,5,1522,5,2
49,9,EPO,5,1522,5,2
50,9,EPO,5,1522,5,2
51,9,EPO,5,1522,5,2
52,9,EPO,5,1522,5,2
53,9,EPO,5,1522,5,2
54,9,EPO,5,1522,10,3
55,9,EPO,5,1522,10,3
56,9,EPO,5,1522,10,3
57,9,EPO,5,1522,10,3
58,9,EPO,5,1522,10,3
59,9,EPO,5,1522,10,3
60,9,EPO,5,1522,10,3
61,9,EPO,5,3422,10,3
62,9,EPO,5,3422,11,3
63,9,EPO,5,3422,10,3
64,9,EPO,5,3422,10,3
65,9,EPO,5,3422,10,3
66,9,EPO,5,3422,10,3
67,9,EPO,5,3422,10,3
68,9,EPO,5,3422,10,3
69,9,EPO,5,3422,10,3
70,9,EPO,5,3422,10,3
71,9,EPO,5,3422,10,3
72,9,EPO,5,3422,20,4
73,9,EPO,5,3422,20,4
74,9,EPO,5,3422,21,4
75,9,EPO,5,3422,20,4
76,9,EPO,5,3422,20,4
77,9,EPO,5,3422,20,4
78,9,EPO,5,3422,20,4
79,9,EPO,5,3422,20,4
80,9,EPO,5,3422,21,4
81,9,EPO,5,3422,21,4
82,9,EPO,5,3422,20,4
83,9,EPO,5,3422,20,4
84,9,EPO,5,3422,21,4
85,9,EPO,5,3422,20,4
86,9,EPO,5,3422,20,4
87,9,EPO,5,3422,21,4
88,9,EPO,5,3422,20,4
89,9,EPO,5,3422,21,4
90,9,EPO,5,3422,20,4
91,9,EPO,5,3422,20,4
92,9,EPO,5,3422,20,4
93,9,EPO,5,3422,21,4
94,9,EPO,5,3422,21,4
95,9,EPO,5,3422,20,4
96,9,EPO,5,3422,21,4
97,9,EPO,5,3422,20,4
98,9,EPO,5,3422,51,5
99,9,EPO,5,3422,50,5
100,9,EPO,5,5298,14,3
101,9,EPO,5,5312,20,4
102,9,EPO,5,6150,126,6
103,9,EPO,5,6449,1,1
104,9,EPO,5,6739,55,5
105,9,EPO,5,6739,115,6
106,9,EPO,5,8687,100,6
107,9,EPO,5,8687,100,6
108,9,EPO,5,8687,100,6
109,9,EPO,5,8687,340,7
110,9,EPO,5,8687,339,7
111,9,EPO,5,9087,30,4
112,9,EPO,5,10690,19,3
113,9,EPO,5,11130,137,6
114,9,EPO,5,12972,11,3
115,9,EPO,5,12973,317,7
116,9,EPO,5,12974,30,4
117,9,EPO,5,12978,21,4
118,9,EPO,6,2207,30,4
119,9,EPO,7,237,30,4
120,9,EPO,7,434,21,4
121,9,EPO,8,1798,21,4
122,9,EPO,8,1863,364,7
123,9,EPO,8,2308,63,5
124,9,EPO,8,11807,53,5
125,9,EPO,9,5016,30,4
126,9,EPO,9,8971,21,4
127,9,EPO,9,10741,21,4
128,9,EPO,9,10741,22,4
129,9,EPO,10,5278,190,6
130,9,EPO,10,7540,38,4
131,9,EPO,10,7540,38,4
132,9,EPO,10,8572,51,5
133,9,EPO,10,10369,30,4
134,9,EPO,11,1047,53,5
135,9,EPO,11,7259,53,5
136,9,EPO,11,10359,21,4
137,9,EPO,12,8599,100,6
138,9,EPO,12,10994,30,4
139,9,EPO,12,11080,53,5
140,9,EPO,12,11684,21,4
141,9,EPO,13,7850,424,7
142,9,EPO,15,123,364,7
143,9,EPO,15,11600,21,4
144,9,EPO,15,11601,30,4
145,9,EPO,16,8940,11,3
146,9,EPO,16,8940,11,3
147,9,EPO,16,8940,11,3
148,9,EPO,16,9058,12,3
149,9,EPO,16,9058,28,4
150,9,EPO,16,10415,28,4
151,9,EPO,17,10437,4,1
152,9,EPO,18,1173,32,4
153,9,EPO,18,1773,21,4
154,9,EPO,18,8020,81,5
155,9,EPO,19,9868,19,3
156,9,EPO,19,9870,14,3
157,9,EPO,19,9887,10,3
158,9,EPO,19,9887,20,4
159,9,EPO,19,9887,101,6
160,9,EPO,19,9887,100,6
161,9,EPO,19,9888,26,4
162,9,EPO,22,2290,25,4
163,9,EPO,22,5558,24,4
164,9,EPO,22,8760,36,4
165,9,EPO,22,9897,14,3
166,9,EPO,23,808,1,1
167,9,EPO,23,808,1,1
168,9,EPO,23,808,5,2
169,9,EPO,23,808,5,2
170,9,EPO,23,808,10,3
171,9,EPO,23,808,10,3
172,9,EPO,23,808,10,3
173,9,EPO,23,808,10,3
174,9,EPO,23,808,10,3
175,9,EPO,23,808,10,3
176,9,EPO,23,808,10,3
177,9,EPO,23,808,10,3
178,9,EPO,23,808,20,4
179,9,EPO,23,808,20,4
180,9,EPO,23,808,20,4
181,9,EPO,23,808,50,5
182,9,EPO,23,808,50,5
183,9,EPO,23,808,50,5
184,9,EPO,23,808,50,5
185,9,EPO,23,808,50,5
186,9,EPO,23,808,336,7
187,9,EPO,23,4181,100,6
188,9,EPO,23,4181,100,6
189,9,EPO,23,4181,378,7
190,9,EPO,23,4206,51,5
191,9,EPO,23,5225,30,4
192,9,EPO,24,3311,20,4
193,9,EPO,24,3311,103,6
194,9,EPO,25,20,364,7
195,9,EPO,25,2266,36,4
196,9,EPO,25,2515,84,5
197,9,EPO,25,3620,10,3
198,9,EPO,25,7413,21,4
199,9,EPO,26,8049,30,4
200,9,EPO,26,10734,54,5
201,9,EPO,28,36,111,6
202,9,EPO,28,133,1,1
203,9,EPO,28,133,1,1
204,9,EPO,28,133,1,1
205,9,EPO,28,133,1,1
206,9,EPO,28,133,1,1
207,9,EPO,28,133,1,1
208,9,EPO,28,133,1,1
209,9,EPO,28,133,1,1
210,9,EPO,28,133,5,2
211,9,EPO,28,133,10,3
212,9,EPO,28,133,10,3
213,9,EPO,28,133,20,4
214,9,EPO,28,300,1,1
215,9,EPO,28,300,1,1
216,9,EPO,28,300,5,2
217,9,EPO,28,300,10,3
218,9,EPO,28,615,1,1
219,9,EPO,28,615,20,4
220,9,EPO,28,615,20,4
221,9,EPO,28,751,1,1
222,9,EPO,28,751,1,1
223,9,EPO,28,751,5,2
224,9,EPO,28,751,10,3
225,9,EPO,28,751,10,3
226,9,EPO,28,751,10,3
227,9,EPO,28,751,10,3
228,9,EPO,28,751,20,4
229,9,EPO,28,751,50,5
230,9,EPO,28,751,100,6
231,9,EPO,28,932,10,3
232,9,EPO,28,932,20,4
233,9,EPO,28,991,1,1
234,9,EPO,28,991,1,1
235,9,EPO,28,991,1,1
236,9,EPO,28,991,1,1
237,9,EPO,28,991,1,1
238,9,EPO,28,991,1,1
239,9,EPO,28,991,1,1
240,9,EPO,28,991,5,2
241,9,EPO,28,991,5,2
242,9,EPO,28,991,5,2
243,9,EPO,28,991,5,2
244,9,EPO,28,991,10,3
245,9,EPO,28,991,10,3
246,9,EPO,28,991,10,3
247,9,EPO,28,991,10,3
248,9,EPO,28,991,10,3
249,9,EPO,28,991,10,3
250,9,EPO,28,991,10,3
251,9,EPO,28,991,10,3
252,9,EPO,28,991,10,3
253,9,EPO,28,991,10,3
254,9,EPO,28,991,10,3
255,9,EPO,28,991,10,3
256,9,EPO,28,991,10,3
257,9,EPO,28,991,20,4
258,9,EPO,28,991,20,4
259,9,EPO,28,991,20,4
260,9,EPO,28,991,20,4
261,9,EPO,28,991,20,4
262,9,EPO,28,991,50,5
263,9,EPO,28,991,50,5
264,9,EPO,28,991,50,5
265,9,EPO,28,991,50,5
266,9,EPO,28,991,50,5
267,9,EPO,28,991,50,5
268,9,EPO,28,991,50,5
269,9,EPO,28,991,100,6
270,9,EPO,28,991,100,6
271,9,EPO,28,991,100,6
272,9,EPO,28,991,100,6
273,9,EPO,28,991,100,6
274,9,EPO,28,991,100,6
275,9,EPO,28,991,100,6
276,9,EPO,28,1038,1,1
277,9,EPO,28,1038,5,2
278,9,EPO,28,1038,10,3
279,9,EPO,28,1038,10,3
280,9,EPO,28,1038,50,5
281,9,EPO,28,1038,250,7
282,9,EPO,28,1164,1,1
283,9,EPO,28,1164,1,1
284,9,EPO,28,1164,1,1
285,9,EPO,28,1164,50,5
286,9,EPO,28,1196,1,1
287,9,EPO,28,1196,1,1
288,9,EPO,28,1196,5,2
289,9,EPO,28,1196,10,3
290,9,EPO,28,1196,20,4
291,9,EPO,28,1196,100,6
292,9,EPO,28,1625,1,1
293,9,EPO,28,1625,1,1
294,9,EPO,28,1625,1,1
295,9,EPO,28,1625,1,1
296,9,EPO,28,1625,5,2
297,9,EPO,28,1625,5,2
298,9,EPO,28,1625,10,3
299,9,EPO,28,1625,10,3
300,9,EPO,28,1625,50,5
301,9,EPO,28,1625,100,6
302,9,EPO,28,1625,250,7
303,9,EPO,28,1625,250,7
304,9,EPO,28,1729,1,1
305,9,EPO,28,1729,1,1
306,9,EPO,28,1729,1,1
307,9,EPO,28,1729,10,3
308,9,EPO,28,1729,20,4
309,9,EPO,28,1729,100,6
310,9,EPO,28,1729,253,7
311,9,EPO,28,1729,253,7
312,9,EPO,28,1802,107,6
313,9,EPO,28,1814,10,3
314,9,EPO,28,1814,20,4
315,9,EPO,28,1814,252,7
316,9,EPO,28,1814,252,7
317,9,EPO,28,1920,100,6
318,9,EPO,28,1920,100,6
319,9,EPO,28,1920,257,7
320,9,EPO,28,1992,53,5
321,9,EPO,28,2006,10,3
322,9,EPO,28,2006,10,3
323,9,EPO,28,2006,50,5
324,9,EPO,28,2006,256,7
325,9,EPO,28,2171,10,3
326,9,EPO,28,2171,10,3
327,9,EPO,28,2171,20,4
328,9,EPO,28,2171,254,7
329,9,EPO,28,2171,253,7
330,9,EPO,28,2547,10,3
331,9,EPO,28,2547,253,7
332,9,EPO,28,2569,10,3
333,9,EPO,28,2569,10,3
334,9,EPO,28,2569,10,3
335,9,EPO,28,2569,251,7
336,9,EPO,28,2569,250,7
337,9,EPO,28,2728,10,3
338,9,EPO,28,2728,10,3
339,9,EPO,28,2728,100,6
340,9,EPO,28,2728,250,7
341,9,EPO,28,2728,250,7
342,9,EPO,28,2728,253,7
343,9,EPO,28,2728,250,7
344,9,EPO,28,2841,17,3
345,9,EPO,28,3039,11,3
346,9,EPO,28,3039,23,4
347,9,EPO,28,3039,55,5
348,9,EPO,28,3150,21,4
349,9,EPO,28,3150,103,6
350,9,EPO,28,3150,104,6
351,9,EPO,28,3225,10,3
352,9,EPO,28,3225,100,6
353,9,EPO,28,3225,100,6
354,9,EPO,28,3225,251,7
355,9,EPO,28,3225,251,7
356,9,EPO,28,3225,252,7
357,9,EPO,28,3225,251,7
358,9,EPO,28,3312,10,3
359,9,EPO,28,3312,100,6
360,9,EPO,28,3312,251,7
361,9,EPO,28,3312,251,7
362,9,EPO,28,3504,12,3
363,9,EPO,28,3504,27,4
364,9,EPO,28,4199,20,4
365,9,EPO,28,4199,20,4
366,9,EPO,28,4199,100,6
367,9,EPO,28,4199,100,6
368,9,EPO,28,4199,252,7
369,9,EPO,28,5159,10,3
370,9,EPO,28,5159,20,4
371,9,EPO,28,5619,252,7
372,9,EPO,28,5619,250,7
373,9,EPO,28,5619,250,7
374,9,EPO,28,5619,250,7
375,9,EPO,28,5619,251,7
376,9,EPO,28,5619,251,7
377,9,EPO,28,5736,20,4
378,9,EPO,28,5736,50,5
379,9,EPO,28,5736,259,7
380,9,EPO,28,5801,20,4
381,9,EPO,28,5801,100,6
382,9,EPO,28,5801,258,7
383,9,EPO,28,5801,259,7
384,9,EPO,28,5815,51,5
385,9,EPO,28,5815,103,6
386,9,EPO,28,6452,58,5
387,9,EPO,28,6452,57,5
388,9,EPO,28,6452,123,6
389,9,EPO,28,6619,50,5
390,9,EPO,28,6619,251,7
391,9,EPO,28,6619,250,7
392,9,EPO,28,6921,50,5
393,9,EPO,28,6921,263,7
394,9,EPO,28,6921,264,7
395,9,EPO,28,6921,263,7
396,9,EPO,28,7073,100,6
397,9,EPO,28,7073,284,7
398,9,EPO,28,8075,53,5
399,9,EPO,28,8527,50,5
400,9,EPO,28,8527,100,6
401,9,EPO,28,8527,100,6
402,9,EPO,28,8527,100,6
403,9,EPO,28,8527,251,7
404,9,EPO,28,8527,251,7
405,9,EPO,28,8527,250,7
406,9,EPO,28,8527,251,7
407,9,EPO,28,8527,251,7
408,9,EPO,28,8527,253,7
409,9,EPO,28,8527,250,7
410,9,EPO,28,8527,252,7
411,9,EPO,28,8527,251,7
412,9,EPO,28,8527,251,7
413,9,EPO,28,8527,250,7
414,9,EPO,28,8527,250,7
415,9,EPO,28,8527,251,7
416,9,EPO,28,8527,250,7
417,9,EPO,28,8527,251,7
418,9,EPO,28,10208,100,6
419,9,EPO,28,10208,276,7
420,9,EPO,28,10635,100,6
421,9,EPO,28,10635,252,7
422,9,EPO,28,10635,252,7
423,9,EPO,28,10635,253,7
424,9,EPO,28,10635,254,7
425,9,EPO,28,10641,100,6
426,9,EPO,28,10641,310,7
427,9,EPO,28,10641,310,7
428,9,EPO,28,10641,310,7
429,9,EPO,28,10641,310,7
430,9,EPO,28,10641,310,7
431,9,EPO,28,10641,310,7
432,9,EPO,29,5485,55,5
433,9,EPO,29,5485,55,5
434,9,EPO,29,7325,26,4
435,9,EPO,29,7325,26,4
436,9,EPO,29,7325,132,6
437,9,EPO,29,10562,1,1
438,9,EPO,29,24196,36,4
439,9,EPO,29,24196,36,4
440,9,EPO,29,24196,35,4
441,9,EPO,30,6994,495,7
442,9,EPO,30,7174,123,6
443,9,EPO,30,12702,151,6
444,9,EPO,30,12703,10,3
445,9,EPO,30,12703,10,3
446,9,EPO,30,12703,21,4
447,9,EPO,30,12703,20,4
448,9,EPO,30,12703,20,4
