,household_income_id,household_income_label,res_bus,res_per,vis_bus,vis_per
0,1,LESS_THAN_15K,0.0020434903111135067,0.028254876240366645,0.00800907963515872,0.031035079551734866
1,2,BETWEEN_15K_20K,0.032322396933697324,0.0017945484760714568,0.006696745005626895,0.00616762286035361
2,3,BETWEEN_20K_25K,0.0020434903111135067,0.009687274515037302,0.006912450593686228,0.005906868514536101
3,4,BETWEEN_25K_30K,0.007326641397855681,0.004525939680944323,0.002548250040096654,0.00844655530527719
4,5,BETWEEN_30K_35K,0.007554131485119642,0.015759870577762933,0.013025866570126598,0.015657623216558055
5,6,BETWEEN_35K_40K,0.020783753729051883,0.02134359687603886,0.001889156230099771,0.009785303296563427
6,7,BETWEEN_40K_45K,0.028696669294795817,0.019409589806997123,0.004380242769555017,0.011159021489402675
7,8,BETWEEN_45K_50K,0.006588341552134785,0.017872132578690473,0.009575708393068861,0.018056851349744153
8,9,BETWEEN_50K_60K,0.025560153990449284,0.026280744945684893,0.02649979998648896,0.04055584655075038
9,10,BETWEEN_60K_75K,0.04170470870268201,0.061155011267950664,0.06427524132638077,0.07550924169338993
10,11,BETWEEN_75K_100K,0.11784564658115505,0.09945929877636385,0.10734600975508532,0.11528424430490741
11,12,BETWEEN_100K_150K,0.14474050041632044,0.14067751144405205,0.18146718473054063,0.15992879464681456
12,13,BETWEEN_150_199K,0.1777603314552621,0.1351427672822563,0.19216953813472587,0.12589673887290992
13,14,PREFER_NOT_TO_SAY,0.16740492513524546,0.2362948370151762,0.21331292176204752,0.25010555441083954
14,15,BETWEEN_200_299K,0.12218826331122772,0.1109578230878431,0.08965905856063217,0.07155409525960685
15,16,MORE_THAN_300K,0.09339306508166233,0.07078599460340673,0.07119300695661243,0.047386038262405054
16,17,MORE_THAN_150K,0.0020434903111135067,0.0005981828253571523,0.0010397395500675532,0.007564520414206231
17,99,REFUSED,0.0,0.0,0.0,0.0
