,poe,StartHour,EndHour,StartPeriod,EndPeriod,StandardWait,SENTRIWait,PedestrianWait,MAZ,poe_id
0,0,3,5,1,1,41.8,3.4,6.5,7090,0
1,0,5,6,2,3,52.6,12.5,16.8,7090,0
2,0,6,7,4,5,59.1,13.2,24.1,7090,0
3,0,7,8,6,7,58.9,13.8,39.2,7090,0
4,0,8,9,8,9,56.7,12.9,38.8,7090,0
5,0,9,10,10,11,54.4,9.3,35.7,7090,0
6,0,10,11,12,13,54.1,9.7,36.3,7090,0
7,0,11,12,14,15,55.0,10.5,39.5,7090,0
8,0,12,1,16,17,56.6,10.7,41.3,7090,0
9,0,1,2,18,19,55.9,10.7,37.2,7090,0
10,0,2,3,20,21,56.2,10.3,36.6,7090,0
11,0,3,4,22,23,53.7,9.8,37.7,7090,0
12,0,4,5,24,25,46.9,8.2,30.7,7090,0
13,0,5,6,26,27,40.0,8.5,28.6,7090,0
14,0,6,7,28,29,32.2,9.1,24.5,7090,0
15,0,7,8,30,31,32.6,8.5,23.3,7090,0
16,0,8,9,32,33,33.2,8.5,16.4,7090,0
17,0,9,10,34,35,31.9,7.1,10.0,7090,0
18,0,10,11,36,37,30.8,7.4,7.0,7090,0
19,0,11,12,38,39,26.0,7.8,2.3,7090,0
20,0,12,3,40,40,24.7,0.8,1.7,7090,0
21,1,3,5,1,1,42.2,2.4,2.4,7066,1
22,1,5,6,2,3,52.8,7.0,17.1,7066,1
23,1,6,7,4,5,52.7,10.1,28.3,7066,1
24,1,7,8,6,7,48.1,9.9,22.9,7066,1
25,1,8,9,8,9,46.6,10.3,20.7,7066,1
26,1,9,10,10,11,46.2,7.6,18.4,7066,1
27,1,10,11,12,13,43.8,6.3,12.8,7066,1
28,1,11,12,14,15,47.9,5.7,12.9,7066,1
29,1,12,1,16,17,45.3,6.7,10.1,7066,1
30,1,1,2,18,19,45.4,6.3,8.8,7066,1
31,1,2,3,20,21,45.3,7.3,10.8,7066,1
32,1,3,4,22,23,42.7,7.0,7.7,7066,1
33,1,4,5,24,25,38.3,6.1,7.3,7066,1
34,1,5,6,26,27,31.4,5.7,7.0,7066,1
35,1,6,7,28,29,24.8,6.2,7.1,7066,1
36,1,7,8,30,31,23.9,5.5,6.2,7066,1
37,1,8,9,32,33,21.2,4.5,3.9,7066,1
38,1,9,10,34,35,18.3,4.3,1.6,7066,1
39,1,10,11,36,37,18.9,4.1,2.1,7066,1
40,1,11,12,38,39,24.1,1.8,3.9,7066,1
41,1,12,3,40,40,24.1,0.0,1.7,7066,1
42,2,3,5,1,1,999.0,999.0,999.0,21895,2
43,2,5,6,2,3,21.6,999.0,10.8,21895,2
44,2,6,7,4,5,24.3,999.0,6.9,21895,2
45,2,7,8,6,7,29.1,999.0,5.5,21895,2
46,2,8,9,8,9,29.8,999.0,4.4,21895,2
47,2,9,10,10,11,34.6,999.0,4.3,21895,2
48,2,10,11,12,13,32.6,999.0,4.1,21895,2
49,2,11,12,14,15,34.4,999.0,4.0,21895,2
50,2,12,1,16,17,31.6,999.0,3.8,21895,2
51,2,1,2,18,19,33.2,999.0,4.3,21895,2
52,2,2,3,20,21,32.0,999.0,3.5,21895,2
53,2,3,4,22,23,24.5,999.0,1.8,21895,2
54,2,4,5,24,25,18.9,999.0,1.6,21895,2
55,2,5,6,26,27,18.2,999.0,1.3,21895,2
56,2,6,7,28,29,15.7,999.0,1.1,21895,2
57,2,7,8,30,31,13.9,999.0,1.2,21895,2
58,2,8,9,32,33,11.4,999.0,0.9,21895,2
59,2,9,10,34,35,10.6,999.0,0.9,21895,2
60,2,10,11,36,37,7.4,999.0,0.8,21895,2
61,2,11,12,38,39,12.5,999.0,3.0,21895,2
62,2,12,3,40,40,999.0,999.0,999.0,21895,2
