Test,Input_Table,Input_ID_Column,Severity,Type,Expression,Test_Vals,Report_Statistic,Test_Description
PERSON_CTRAMP_Fields_Availability,persons,perid,Fatal,Test,test_val in persons.columns,"hhid,perid,household_serial_no,pnum,age,sex,miltary,pemploy,pstudent,ptype,educ,grade,occen5,occsoc5,indcen,weeks,hours,rac1p,hisp,version",,Check if person file contains all the required fields for ABM
PERSON_military_valueCheck_agg,persons,perid,Warning,Test,"set(persons.miltary)=={0,1,2,3,4}",,,"Check if Person data matches the pre-defined military categories [0 = N/A Less than 17 years old, 1 = Yes, Now on Active Duty, 2 = Yes, on Active Duty in Past, but not Now, 3 = No, Training for Reserves/National Guard Only, 4 = No, Never Served in the Military]"
PERSON_military_valueCheck_disagg,persons,perid,Fatal,Test,"persons.miltary.apply(lambda x: True if x in [0,1,2,3,4] else False)",,,"Check if Person data matches the pre-defined military categories [0 = N/A Less than 17 years old, 1 = Yes, Now on Active Duty, 2 = Yes, on Active Duty in Past, but not Now, 3 = No, Training for Reserves/National Guard Only, 4 = No, Never Served in the Military]"
PERSON_pemploy_valueCheck_agg,persons,perid,Warning,Test,"set(persons.pemploy)=={1,2,3,4}",,,"Check if Person data matches the pre-defined pemploy categories [1 = Employed Full-Time, 2 = Employed Part-Time, 3 = Unemployed or Not in Labor Force, 4 = Less than 16 Years Old]"
PERSON_pemploy_valueCheck_disagg,persons,perid,Fatal,Test,"persons.pemploy.apply(lambda x: True if x in [1,2,3,4] else False)",,,"Check if Person data matches the pre-defined pemploy categories [1 = Employed Full-Time, 2 = Employed Part-Time, 3 = Unemployed or Not in Labor Force, 4 = Less than 16 Years Old]"
PERSON_pstudent_valueCheck_agg,persons,perid,Warning,Test,"set(persons.pstudent)=={1,2,3}",,,"Check if Person data matches the pre-defined pstudent categories [1 = Pre K-12, 2 = College Undergrad + Grad and Prof. School, 3 = Not Attending School]"
PERSON_pstudent_valueCheck_disagg,persons,perid,Fatal,Test,"persons.pstudent.apply(lambda x: True if x in [1,2,3] else False)",,,"Check if Person data matches the pre-defined pstudent categories [1 = Pre K-12, 2 = College Undergrad + Grad and Prof. School, 3 = Not Attending School]"
PERSON_ptype_valueCheck_agg,persons,perid,Warning,Test,"set(persons.ptype)=={1,2,3,4,5,6,7,8}",,,"Check if Person data matches the pre-defined ptype categories [1 = Full-time Worker, 2 = Part-time Worker, 3 = College Student, 4 = Non-working Adult, 5 = Non-working Senior, 6 = Driving Age Student, 7 = Non-driving Student, 8 = Pre-school]"
PERSON_ptype_valueCheck_disagg,persons,perid,Fatal,Test,"persons.ptype.apply(lambda x: True if x in [1,2,3,4,5,6,7,8] else False)",,,"Check if Person data matches the pre-defined ptype categories [1 = Full-time Worker, 2 = Part-time Worker, 3 = College Student, 4 = Non-working Adult, 5 = Non-working Senior, 6 = Driving Age Student, 7 = Non-driving Student, 8 = Pre-school]"
PERSON_educ_valueCheck_agg,persons,perid,Warning,Test,"set(persons.educ)=={0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}",,,"Check if Person data matches the pre-defined educ categories [0 = N/A (Under 3 years), 1 = No schooling completed, 2 = Nursery school to 4th grade, 3 = 5th grade or 6th grade, 4 = 7th grade or 8th grade, 5 = 9th grade, 6 = 10th grade, 7 = 11th grade, 8 = High school graduate, 9 = High school graduate, 10 = Some college but less than 1 year, 11 = One or more years of college no degree, 12 = Associate degree, 13 = Bachelor's degree, 14 = Master's degree, 15 = Professional degree, 16 = Doctorate degree]"
PERSON_educ_valueCheck_disagg,persons,perid,Fatal,Test,"persons.educ.apply(lambda x: True if x in [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16] else False)",,,"Check if Person data matches the pre-defined educ categories [0 = N/A (Under 3 years), 1 = No schooling completed, 2 = Nursery school to 4th grade, 3 = 5th grade or 6th grade, 4 = 7th grade or 8th grade, 5 = 9th grade, 6 = 10th grade, 7 = 11th grade, 8 = High school graduate, 9 = High school graduate, 10 = Some college but less than 1 year, 11 = One or more years of college no degree, 12 = Associate degree, 13 = Bachelor's degree, 14 = Master's degree, 15 = Professional degree, 16 = Doctorate degree]"
PERSON_grade_valueCheck_agg,persons,perid,Warning,Test,"set(persons.grade)=={0,1,2,3,4,5,6,7}",,,"Check if Person data mathces the pre-defined grade categories [0 = N/A (not attending school), 1 = Nursery school/preschool, 2 = Kindergarten, 3 = Grade 1 to grade 4, 4 = Grade 5 to grade 8, 5 = Grade 9 to grade 12, 6 = College undergraduate, 7 = Graduate or professional school]"
