Description,Step,Type,Table,Out Col,In Col,Func
#,,,,,,
calculate HH weights,step_1,raw,final_households,finalweights,sample_rate,final_households['finalweights'] = 1/final_households['sample_rate']
copy weight files,step_1,raw,final_persons,,,final_persons['finalweights'] = final_persons['household_id'].map(final_households.set_index('household_id')['finalweights']).fillna(0)
copy weight files,step_1,raw,final_tours,,,final_tours['finalweights'] = final_tours['household_id'].map(final_households.set_index('household_id')['finalweights']).fillna(0)
copy weight files,step_1,raw,final_trips,,,final_trips['finalweights'] = final_trips['household_id'].map(final_households.set_index('household_id')['finalweights']).fillna(0)
add origin purpose to final trip file,step_1,raw,,,,"final_trips = final_trips.assign(orig_purpose=final_trips.groupby(['person_id','tour_id']).purpose.shift(+1))"
fill NaN origin purpose with the purpose of last trip,step_1,raw,,,,m = final_trips['orig_purpose'].isna()
fill NaN origin purpose with the purpose of last trip,step_1,raw,,,,"final_trips.loc[m, 'orig_purpose'] = final_trips.groupby(['person_id','tour_id']).purpose.tail(1).values"
rename trip purpose to destination purpose,step_1,rename,final_trips,,,"{'primary_purpose': 'tour_purpose','purpose': 'dest_purpose', 'origin': 'orig_mgra', 'destination': 'dest_mgra'}"
rename,step_1,rename,final_tours,,,"{'primary_purpose': 'tour_purpose','origin': 'orig_mgra', 'destination': 'dest_mgra',  'duration' : 'tourdur'}"
Get tour origin TAZ,step_1,raw,final_tours,,,final_tours['originTAZ'] = final_tours['orig_mgra'].map(land_use.set_index('MAZ')['TAZ']).fillna(0)
Get tour destination TAZ,step_1,raw,final_tours,,,final_tours['destinationTAZ'] = final_tours['dest_mgra'].map(land_use.set_index('MAZ')['TAZ']).fillna(0)
Get trip origin TAZ,step_1,raw,final_trips,,,final_trips['originTAZ'] =final_trips['orig_mgra'].map(land_use.set_index('MAZ')['TAZ']).fillna(0)
Get trip destination TAZ,step_1,raw,final_trips,,,final_trips['destinationTAZ'] = final_trips['dest_mgra'].map(land_use.set_index('MAZ')['TAZ']).fillna(0)
Add tour origin to final_trips,step_1,raw,,,,final_trips['tour_origin'] = final_trips['tour_id'].map(final_tours.set_index('tour_id')['originTAZ'])
Add tour destination to final trips,step_1,raw,,,,final_trips['tour_destination'] = final_trips['tour_id'].map(final_tours.set_index('tour_id')['destinationTAZ'])
Trip OD raw distance,step_1,skim,final_trips,od_distance,"originTAZ,destinationTAZ",traffic_skims_MD['MD_SOV_TR_H_DIST']
adjust tour duration (no 0),step_1,raw,,,,final_tours['tourdur'] = final_tours['tourdur'] + 1
get person number to final tour file,step_1,raw,,,,final_tours['person_num'] = final_tours['person_id'].map(final_persons.set_index('person_id')['PNUM']).fillna(0)
get person number to final trip  file,step_1,raw,,,,final_trips['person_num'] = final_trips['person_id'].map(final_persons.set_index('person_id')['PNUM']).fillna(0)
get tour mode to final trip file,step_1,raw,,,,final_trips['tour_mode'] = final_trips['tour_id'].map(final_tours.set_index('tour_id')['tour_mode']).fillna(0)
get person type to final tour file,step_1,raw,,,,final_tours['person_type'] = final_tours['person_id'].map(final_persons.set_index('person_id')['ptype']).fillna(0)
add number of outbound stops,step_1,raw,,num_ob_stops,,final_tours['num_ob_stops'] =  final_tours['stop_frequency'].str[0].astype(int)
add number of inbound stops,step_1,raw,,num_ib_stops,,final_tours['num_ib_stops'] = final_tours['stop_frequency'].str[5].astype(int)
add inbound to final trip file,step_1,raw,,inbound,,"final_trips['inbound'] = np.where(final_trips['outbound'] == True, 0, 1)"
get individual tour file,step_1,raw,,,,indivTourData_3 = final_tours.loc[final_tours['tour_category']!='joint']
get joint tour file,step_1,raw,,,,jointTourData_3 = final_tours.loc[final_tours['tour_category']=='joint']
Multiply tour weights by number of participants,step_1,column,jointTourData_3,finalweights,,finalweights * number_of_participants
get individual trip file,step_1,raw,,,,indiv_list = indivTourData_3['tour_id'].tolist()
get individual trip file,step_1,raw,,,,indivTripData_3 = final_trips[final_trips['tour_id'].isin(indiv_list)]
get joint trip file,step_1,raw,,,,joint_list = jointTourData_3['tour_id'].tolist()
get joint trip file,step_1,raw,,,,jointTripData_3 = final_trips[final_trips['tour_id'].isin(joint_list)]
Get number of participants on joint trips,step_1,raw,,,,jointTripData_3['number_of_participants'] = jointTripData_3['tour_id'].map(jointTourData_3.set_index('tour_id')['number_of_participants'])
Multiply trip weights by number of participants,step_1,column,jointTripData_3,finalweights,,finalweights * number_of_participants
#,,,,,,
Add unique tour ids to individual tour file,step_1,raw,,,,maxtours = indivTourData_3['person_id'].value_counts().max()
Add unique tour ids to individual tour file,step_1,raw,,,,"indivTourData_3['cummulative_tours'] = range(1, indivTourData_3.shape[0] + 1)"
Add unique tour ids to individual tour file,step_1,raw,,,,"indivTourData_3['last_person'] = np.hstack(([0], indivTourData_3['person_id'][:-1]))"
Add unique tour ids to individual tour file,step_1,raw,,,,indivTourData_3['new_person'] = (indivTourData_3['person_id']) != (indivTourData_3['last_person'])
Add unique tour ids to individual tour file,step_1,raw,,,,"indivTourData_3['to_subtract'] = indivTourData_3['new_person'] * np.hstack(([0], indivTourData_3['cummulative_tours'].iloc[:-1]))"
Add unique tour ids to individual tour file,step_1,raw,,,,"for i in range(maxtours): indivTourData_3['to_subtract'] = np.where(indivTourData_3['to_subtract'] == 0, np.hstack(([0], indivTourData_3['to_subtract'].iloc[:-1])), indivTourData_3['to_subtract'])"
Add unique tour ids to individual tour file,step_1,raw,,,,indivTourData_3['tour_id2'] = indivTourData_3['cummulative_tours'] - indivTourData_3['to_subtract']
#,,,,,,
Add unique tour ids to individual trip file,step_1,raw,,,,maxtrips = indivTripData_3['person_id'].value_counts().max()
Add unique tour ids to individual trip file,step_1,raw,,,,indivTripData_3['new_tour'] = (indivTripData_3['orig_purpose'] == 'home') | ((indivTripData_3['tour_purpose'] == 'atwork') & (indivTripData_3['orig_purpose'] == 'work'))
Add unique tour ids to individual trip file,step_1,raw,,,,indivTripData_3['cummulative_tours'] = np.cumsum(indivTripData_3['new_tour'])
Add unique tour ids to individual trip file,step_1,raw,,,,"indivTripData_3['last_person'] = np.hstack(([0], indivTripData_3['person_id'][:-1]))"
Add unique tour ids to individual trip file,step_1,raw,,,,indivTripData_3['new_person'] = (indivTripData_3['person_id']) != (indivTripData_3['last_person'])
Add unique tour ids to individual trip file,step_1,raw,,,,"indivTripData_3['to_subtract'] = indivTripData_3['new_person'] * np.hstack(([0], indivTripData_3['cummulative_tours'].iloc[:-1]))"
Add unique tour ids to individual trip file,step_1,raw,,,,"for i in range(maxtrips): indivTripData_3['to_subtract'] = np.where(indivTripData_3['to_subtract'] == 0, np.hstack(([0], indivTripData_3['to_subtract'].iloc[:-1])), indivTripData_3['to_subtract'])"
Add unique tour ids to individual trip file,step_1,raw,,,,indivTripData_3['tour_id2'] = indivTripData_3['cummulative_tours'] - indivTripData_3['to_subtract']
#,,,,,,
Individual Tour distance,step_1,skim,indivTripData_3,tour_distance,"tour_origin,tour_destination",traffic_skims_MD['MD_SOV_TR_H_DIST']
Joint tour distance,step_1,skim,jointTripData_3,tour_distance,"tour_origin,tour_destination",traffic_skims_MD['MD_SOV_TR_H_DIST']
Add tour distance to individual tour table,step_1,raw,indivTourData_3,,,"indivTourData_3 = indivTourData_3.merge(indivTripData_3[['tour_id','tour_distance']], on = 'tour_id')"
Add tour distance to joint tour table,step_1,raw,jointTourData_3,,,"jointTourData_3 = jointTourData_3.merge(jointTripData_3[['tour_id','tour_distance']], on = 'tour_id')"
#,,,,,,
Get person hh ID and number,step_1,raw,,,,final_persons['hhper_id'] = final_persons['household_id'].astype(str) + '-' + final_persons['PNUM'].astype(str)
Cap Auto Ownership,step_1,cap,final_households,HHVEH,auto_ownership,4
