Purpose,OutboundPeriod,ReturnPeriod,Percent
4,36,2,0
4,36,3,0
4,36,4,0
4,36,5,0
4,36,6,0
4,36,7,0
4,36,8,0
4,36,9,0
4,36,10,0
4,36,11,0
4,36,12,0
4,36,13,0
4,36,14,0
4,36,15,0
4,36,16,0
4,36,17,0
4,36,18,0
4,36,19,0
4,36,20,0
4,36,21,0
4,36,22,0
4,36,23,0
4,36,24,0
4,36,25,0
4,36,26,0
4,36,27,0
4,36,28,0
4,36,29,0
4,36,30,0
4,36,31,0
4,36,32,0
4,36,33,0
4,36,34,0
4,36,35,0
4,36,36,0.0009
4,36,37,0.00004
4,36,38,0
4,36,39,0.00005
4,36,40,0
4,37,1,0
4,37,2,0
4,37,3,0
4,37,4,0
4,37,5,0
4,37,6,0
4,37,7,0
4,37,8,0
4,37,9,0
4,37,10,0
4,37,11,0
4,37,12,0
4,37,13,0
4,37,14,0
4,37,15,0
4,37,16,0
4,37,17,0
4,37,18,0
4,37,19,0
4,37,20,0
4,37,21,0
4,37,22,0
4,37,23,0
4,37,24,0
4,37,25,0
4,37,26,0
4,37,27,0
4,37,28,0
4,37,29,0
4,37,30,0
4,37,31,0
4,37,32,0
4,37,33,0
4,37,34,0
4,37,35,0
4,37,36,0
4,37,37,0.00007
4,37,38,0.00012
4,37,39,0
4,37,40,0.00001
4,38,1,0
4,38,2,0
4,38,3,0
4,38,4,0
4,38,5,0
4,38,6,0
4,38,7,0
4,38,8,0
4,38,9,0
4,38,10,0
4,38,11,0
4,38,12,0
4,38,13,0
4,38,14,0
4,38,15,0
4,38,16,0
4,38,17,0
4,38,18,0
4,38,19,0
4,38,20,0
4,38,21,0
4,38,22,0
4,38,23,0
4,38,24,0
4,38,25,0
4,38,26,0
4,38,27,0
4,38,28,0
4,38,29,0
4,38,30,0
4,38,31,0
4,38,32,0
4,38,33,0
4,38,34,0
4,38,35,0
4,38,36,0
4,38,37,0
4,38,38,0
4,38,39,0.00263
4,38,40,0
4,39,1,0
4,39,2,0
4,39,3,0
4,39,4,0
4,39,5,0
4,39,6,0
4,39,7,0
4,39,8,0
4,39,9,0
4,39,10,0
4,39,11,0
4,39,12,0
4,39,13,0
4,39,14,0
4,39,15,0
4,39,16,0
4,39,17,0
4,39,18,0
4,39,19,0
4,39,20,0
4,39,21,0
4,39,22,0
4,39,23,0
4,39,24,0
4,39,25,0
4,39,26,0
4,39,27,0
4,39,28,0
4,39,29,0
4,39,30,0
4,39,31,0
4,39,32,0
4,39,33,0
4,39,34,0
4,39,35,0
4,39,36,0
4,39,37,0
4,39,38,0
4,39,39,0
4,39,40,0.00001
4,40,1,0
4,40,2,0
4,40,3,0
