Description,Expression,work,school,cargo,visit,shop,other
size term,"@np.log1p(size_terms.get(df.dest_taz, df.purpose))",1,1,1,1,1,1
no attractions,"@size_terms.get(df.dest_taz, df.purpose) == 0",-999,-999,-999,-999,-999,-999
,"_od_DIST@odt_skims['SOV_NT_M_DIST']",1,1,1,1,1,1
,"_dp_DIST@dpt_skims['SOV_NT_M_DIST']",1,1,1,1,1,1
intermediate stops on half-tour,_stops_on_leg@df.trip_count - 1,1,1,1,1,1,1
"Sample of alternatives correction factor","@np.minimum(np.log(df.pick_count/df.prob), 60)",1,1,1,1,1,1
mode choice logsum,od_logsum + dp_logsum,2.12300,2.12300,2.12300,2.12300,2.12300,2.12300
,@(df.tour_duration <= 2) * (od_logsum + dp_logsum),0.79600,0.79600,0.79600,0.79600,0.79600,0.79600
,@(df.tour_duration >= 8) * (od_logsum + dp_logsum),-0.31700,-0.31700,-0.31700,-0.31700,-0.31700,-0.31700
,"@(df.trip_num == 1) * df.outbound * (_od_DIST > 1)",-0.70000,-0.70000,-0.70000,-0.70000,-0.70000,-0.70000
,"@(df.trip_num == _stops_on_leg) * df.outbound * (_dp_DIST > 1)",-0.84100,-0.84100,-0.84100,-0.84100,-0.84100,-0.84100
,"@(df.trip_num == _stops_on_leg) * df.outbound * np.clip(_dp_DIST-1, 0, 3)",-0.19400,-0.19400,-0.19400,-0.19400,-0.19400,-0.19400
should be p->d instead of d-> dist?,"@(df.trip_num == 1) * ~df.outbound * (_dp_DIST > 1)",-0.86000,-0.86000,-0.86000,-0.86000,-0.86000,-0.86000
do instead of od?,"@(df.trip_num == _stops_on_leg) * ~df.outbound * (_od_DIST > 1)",-0.36600,-0.36600,-0.36600,-0.36600,-0.36600,-0.36600
do instead of od?,"@(df.trip_num == _stops_on_leg) * ~df.outbound * np.clip(_od_DIST-1, 0, 3)",-0.26900,-0.26900,-0.26900,-0.26900,-0.26900,-0.26900
